Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
38 C.F.R. § 17.51,Veteran's Benefits ,"Emergency use of Department of Defense, Public Health Service, or other Federal Hospitals - limited to emergency circumstances if they do not have beds allocated to veterans",38 CFR 17.51 ,Department of Veterans Affairs,Health Emergency,"Veterans are only allowed to use beds allocated to other facilities if there is an emergency. The type of emergency  is not specified but likely follows 38 U.S.C. 1725(f)(1) (like other regulations in this section), which requires: (A) when department or other Federal facilities are not feasibly available beforehand and attempts to use them would not have been reasonable; and (2) when care or services are rendered in a ""medical emergency of such nature that a prudent layperson reasonably expects that a delay in seeking immediate treatment would be hazardous to life or health."" ",Not applicable,Domestic,Yes,Regulation,Include,eCFR,,5/13/1996,1/3/2017,38 CFR 17.51 (up to date as of 8-23-2024).pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/dp4t0aQewK6z5rBLtdV_Ng/u-bUGC3Wf_5y88wm3BWqV4sey43RqCRT8vIl79y-BygpV0Tv9Z4QNY-KyrmxxDtaStKegxkA1vJuC30DseprLRMqHE4kd5WWVb27jFdtaBPN1E1RMsGSG5H7NgZc-02ggQ6wEJqsXavbX_jNeN6hIOJKDYcvTn2E7fwxAWhoE8Oo66npYhvdGB6y-nqPrFJe/NCq5y0M47nrOhuNIdCL-mHjds71mqnbabdnSwShFAy0),,https://www.ecfr.gov/current/title-38/chapter-I/part-17/subject-group-ECFReb9fa2b9cb55322/section-17.51,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
38 C.F.R. § 17.230,Veteran's Benefits ,"Contingency backup to the Department of defense during a period of national emergency - VA is authorized to furnish hospital care, nursing home care, and medical services to members of the Armed Services in active duty ",38 C.F.R. 17.230,Department of Veterans Affairs,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,Act of War,Declaration of War","There must be a ""period of war or national emergency declared by the Congress or the President that involves the use of U.S. Armed Forces in armed conflict""",Not applicable,Domestic,Yes,Regulation,Include,eCFR,,2/14/1984,9/12/2014,38 CFR 17.230 (up to date as of 8-23-2024).pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/KEnIngCA11MF6BxcmYXSDg/67wzsk1aLxNGsYXOhqL9qLg3vwOQVJGlX7ZQmwnggfRrciSn6tFzcEftLksw2JvHu8e5B8r2lJcLGaRHlmMguq7Fb2xxhOkzI-POq12Wj85GYj3xDyQe3mPdifAAcIQypbTUAiWkakfchsnsQ3gc6cQS10jcIOGHPfh9pV9h0RLoVe15EK7jEcoYSfNEJnMo/wsE2ylP-GqGxbEuY2ceOotke_0ALgIBDiJsHVKV9J-o),,https://www.ecfr.gov/current/title-38/chapter-I/part-17/subject-group-ECFRa324e83a0731bb9/section-17.230,Yes,"""[T]he [VA] Secretary, to the extent authorized by the President and subject to the availability of appropriations or reimbursements, may authorize VA facilities to enter into contracts with private facilities for the provision during such period of hospital care and medical services for certain veterans.""",No,,Scenario 3a,
28 C.F.R. § 549,"Judicial Administration - Bureau of Prisons, Department of Justice - Institutional Management",Regulations for Infectious Disease Management within federal prisons,28 C.F.R. 549,"Department of Justice,Department of Justice - Bureau of Prisons",No triggering event - Capacity Building,Requires proactive steps by prisons to prevent infectious diseases and their spread,Not applicable,Domestic,No,Regulation,Include,eCFR,,5/20/2005,1/3/2017,28 CFR Part 549 Subpart A (up to date as of 8-23-2024).pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/LgT4M5__No5gMxERWP-t7Q/_IhDdFKN7IFUjOXL7sbHBjDpEqP_twORSs5mh45d48GeRgOxwuKXU_wS7hlBrG7MTVOOEfQWF9FseReDbq6ZkjYqsdH-hGe_VmjHNQWZF7iXcZ-i-m8yCgF3JTyQyBSWrO-t4khka-ONqmqkbRzFEDT4ThK0RE3TsUlglFbRAUlPZFMxfgeth8bcqO8YYep5ZXdnsEz_wLmjOTp1YWwM6w/CxqhO8k1OdtaCSKETtGwkX643d4jP9mllJYaNuZErO4),,https://www.ecfr.gov/current/title-28/chapter-V/subchapter-C/part-549/subpart-A,No,,No,"* § 549.12 Testing.
* § 549.13 Programming, duty, and housing restrictions.
* § 549.15 Infectious disease training and preventive measures.","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 323 - Appendix 1,Stafford Act,List of Essential Survival Items in case of a nuclear attack - major attention should be given to insure the basic essentials in case of such an attack ,44 CFR 323 appendix,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency",No triggering event - Capacity Building,Requires proactive steps in case of a health emergency caused by a nuclear attack,Not applicable,Domestic,Unclear,Regulation,Include,eCFR,,7/1/1980,1/3/2017,Appendix 1 to Part 323_ Title 44 (up to date as of 8-23-2024).pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/ZNnofDRJRGvgzFZsxR0YJA/FMJAscdIaXnHmnevoaQLRuUWdOeA8te07nJAPZTffJt1v8p5ny_72OgQ27UWdK1EoRQd6F7RiQtZVk1T_9scERAHSkh1G90O2tzBMHMeAogUdlBNeZLP99VdBUfRbsrcIK0PuMI4W8ua0qqfGrfE_B1gFJMf2U0xHWEGiruX2SOBEkJF4A-f3DxWWsvy2L_y95e-0hZcomvaJx4ZpBvBig/LWgoxpZ1VHtvI0lJVHH6xyktA_p66UuygErV7TuqPUI),,https://www.ecfr.gov/current/title-44/chapter-I/subchapter-F/part-323/appendix-Appendix%201%20to%20Part%20323,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 C.F.R. §§ 300-370,Federal Acquisition Regulations System,Health & Human Services Supplement - Federal Acquisition Regulations System,HHS FAR,Department of Health and Human Services,No triggering event - Capacity Building,No emergency defined; general contracting rules,Not applicable,Domestic,No,Regulation,Include,eCFR,,11/18/2015,11/18/2015,hhsar final rule-2016.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/ExrB7XHQ1jfOAdbcMhL7uw/CcJ-zreuBekl0xjMHOPjHijP36VbD7vG0JTrDlVtTosZw99EhWcCYwkRHt54SoYVpYdf0FSu_CRv_B0hSAN97Z-wZB7D8kz_Bbq_e4Hn8FfF_2Ds2EHqBFgAX60njfleFQ_TEzvZy5s0w21H-va3OSDbVuBizpQ-D9EgrWCJRW8/bdugFKbi6Wg5mnNPJBJJpKussuf6LAbf34-5eN06arQ),,https://www.hhs.gov/sites/default/files/hhsar%20final%20rule-2016.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
5 C.F.R. § 230,Office of Personnel Management - Civil Service Regulations,Agency Authority to take personnel actions a national emergency ,5 CFR 230 ,Broadly applies to any relevant federal agency,"NEA Emergency Declaration,Presidential Major Disaster Declaration,Presidential Emergency Declarations","A national emergency involves an ""attack on the U.S."", it must be declared by the President or Congress; involves danger to U.S. safety security or stability resulting from national, specified circumstances; and requires a national program specifically intended to combat the threat to national security ",Not applicable,Domestic,Yes,Regulation,Include,eCFR,,9/21/1979,6/15/2004,5 CFR Part 230 Subpart D (up to date as of 8-23-2024).pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/06Iu9OEgpCWEsIBUCmI3Tg/DiXWB5oNp8B8fCa7t93vzpJWdWnK-Ze_i2iECKYMqdIciHNwPIeV3JufXxCxirGqND7BOqbUwOyiMfUCrzfswybTUHB72OYHo_y0b0wjwUpJ24p6QaRnvo-leFvDzmhcCm6C24r-wEUBdyxZAw8KM0VQ5UOo4ZgvqGv03bMXbv2263p5Qp7_RPI4g8T0nAzzkaFLIYe8Z2BtIK8oqO9TVA/ty6op5qhDFvBvDXtbUJI5n4mp_OCjc-8KfzDekughQU),,https://www.ecfr.gov/current/title-5/chapter-I/subchapter-B/part-230,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
47 C.F.R. § 0.381-387,Telecommunication - Federal Communications Commission ,Internet Openness - Delegations of Authority - National Security and Emergency Preparedness Delegations,47 C.F.R. § 0.381-387,Federal Communications Commission,"Natural Disaster,Health Emergency,Act of War,Terrorism",An emergency must be declared by the Chief of Public Safety ,No,Domestic,No,Regulation,Include,eCFR,,11/29/2006,1/3/2017,CFR-2011-title47-vol1-sec0-381.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/EQAHk3FKIa6mUKFdPZ3hKg/i2z04FFnXvE5xcIGsLMtpK_m8SbQsK2OHtwdjzg7yWpTb0K7Dk-HgykdN7AlLpdsfz0efnylNhM2BPaMUTKLlq8aDbJjbv8mYqFd-SOgoQ0y1CX1sPSIR3uuXpDk_12aO6FoiyJ3sdeyeqPguAHnU8R_PTcHkN2huT-zsudTuH0EtHZ1T0emozC2dYrLz28o/_lYCBOoEf8xI9xQE8SaKVW3pBhwLXFN0QMF2jShMfYI),,https://www.govinfo.gov/content/pkg/CFR-2011-title47-vol1/pdf/CFR-2011-title47-vol1-sec0-381.pdf,No,,No,"* 47 C.F.R. §0.387 Other national security and emergency preparedness delega- tions; cross reference - delegates authority to declare a temporary communications emergency to the Chief of Public Safety and Homeland Security Bureau
","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
34 U.S.C. §§ 50101–50112,Emergency Federal Law Enforcement Assistance Program ,"Assistance program that addresses law enforcement emergencies. If a law enforcement emergency arises, states may apply for assistance from the federal government. It helps alleviate costs, like overtime, incurred by law enforcement, in response to a law enforcement emergency situation. ",34 U.S.C. 510101,"Department of Justice,Department of Justice - Bureau of Justice Assistance",Law enforcement emergency,"Law enforcement emergencies are ""uncommon situation[s] which require[] law enforcement, which [are] or threaten[] to become of serious epidemic proportions and with respect to which state and local resources are inadequate to protect the lives and property of citizens or to enforce the criminal law.",Yes,Domestic,No,Legislation,Include,,,10/12/1984,11/2/2022,USCODE-2017-title34.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/bCyptsOdL116WfI6ePMb3g/OQ1oh46T63-MoejquF6wd-2uoa525YXh5Dl8h5cg4B6CTo5Ng4Gq9fPRpuXDz_rKPKZocTQOXTkFBk1vygON_Io4SsgEHeITb89ULsq66TPicHmHC3o3afU8B43g0O4wOWDO5LXlyZMsPMcoIATkGMAfh5YjU22Hddw4P2sy-uQ/QqQVMen3L8RCD_WswC_cwC2RCJqJ1zfQeR0kU3nY-lI),,https://www.govinfo.gov/content/pkg/USCODE-2017-title34/pdf/USCODE-2017-title34.pdf,Yes,Provides funding to localities to mitigate law enforcement emergencies,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
10 U.S.C. §§ 251–255,Insurrection Act,"Provides federal aid for state governments in cases of insurrection; allows the President to use the Armed Forces against ""unlawful obstructions"" and/or interferences with federal and state law; and allows the President to give proclamations to disperse. Includes Guam and the Virgin Islands as ""states""",10 U.S.C. ,Executive Office of the President of the United States,Insurrection,"Requires insurrection, obstruction, or unlawful interference with federal laws.",Not applicable,Domestic,Yes,Legislation,Include,,,3/3/1807,12/23/2016,USCODE-2011-title10.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/FOHgz9EcvP68EjTdcXTvtg/rdNOwb7Pp6AdH7n7BIcC9T1G7aqyscVSUKA7-AGmMbpVTOPT5YKSLcTE4miuxgEeiD_l_Y4FZ_vO_riaABB_E_0ZxunhJ8yCib2sMCnC6uaAeqwDb7Fhxw8tNgmZ4U8lAn8k2-0oGVrAbF0TlzDFNDyqwEPIwzRzYvBTsafBJy0/uySqYG5LNqA_JQukg3PWbAJGSG8MycFdSCVYHMxITww),,https://www.govinfo.gov/content/pkg/USCODE-2011-title10/pdf/USCODE-2011-title10.pdf,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
49 U.S.C. § 46105(c),,"Empowers the Federal Aviation Administrator to ""prescribe regulations and issue orders immediately to meet"" an emergency. The FAA interprets this provision as providing authority to close airspace to, or redirect, a flight that may be transporting passengers with a quarantinable disease. ",49 USC 46105,"Department of Transportation,Department of Transportation - Federal Aviation Administration","Natural Disaster,Health Emergency,Terrorism,Act of War,Potential Public Health Emergency","Gives FAA administrator discretion; the emergency must relate to ""safety in air commerce"" and be of an immediate nature. ",Not applicable,Domestic,No,Legislation,Include,,,7/5/1994,10/5/2018,USCODE-2022-title49-subtitleVII-partA-subpartiv-chap461-sec46105.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/Em1NYsFlLOErIjm0-RKeug/hAxk4nsUswo2GkEdn2X9uvQCLPd2ztfLDPC1gPygYDSwu6qBjRinfUcJ6NuJO8VFNM9CVadzln3MXh-Iw-ufGe_EH2tX0KQxUwrQ2Kf8zu8Gg6dRz0bAn6Qgc5qKJ8Gm4zzWiK4w0cBRVpZMOam1yxiHBp2gHUXtIWMGMiLtGPf88D_WLWq3YQU48uUoFzCZB8PgiHymwduGudRVsF2aDVPaygz9R5UCTNO4h-CbSCI/ylZIkIMXDGXQCR15Wq3JPUwKMq-uhQKzIpf6Haf3Yi0),,https://www.govinfo.gov/content/pkg/USCODE-2022-title49/pdf/USCODE-2022-title49-subtitleVII-partA-subpartiv-chap461-sec46105.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d,Scenario 1",
49 U.S.C. § 44905(b),,"Provides the Transportation Security Administration Assistant Secretary with the authority to cancel flights in an emergency situation, as well as to issue regulations or security directives without notice or comment. TSA interprets this to include the ability to prevent international flights from landing in the U.S. if the flight is transporting persons with quarantinable diseases. ",49 USC 44905,"Department of Homeland Security - Transportation Security Administration,Department of Homeland Security","Natural Disaster,Health Emergency,Terrorism,Act of War,Potential Public Health Emergency","Emergency must be such that it ""cannot be addressed in an adequate way to ensure... the safety of passengers and crew"" otherwise.",Not applicable,Domestic,No,Legislation,Include,,,7/5/1994,10/5/2018,USCODE-2022-title49-subtitleVII-partA-subpartiii-chap449-subchapI-sec44905.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/mgdOX9Xah4sB7mUI0SbjFg/2zPmJWxYWMOzcm-BIw0uJha9rzgNnVICqAdtxl-AkwmaTyZci1foLQvHm0hkO6TzYXehTk8m_mAiO21yyd7w3DYDkHZ2dUAlchu6DuUJao9PHnExJLj38DELjY4GU1qr2-5_9pJizoSuGcdmUHo9IA2HKOG1IrGyNZr_5aE0tyKIun6opsCzvD63_A2B29TLO_E2qxKEmwCCp9HPyjTdD1OBAHi5hFHY4MFUjlUdtVQ2wbZtq-f52CmDwqZH28OP/-iewzgpRks1EXFLEa4vvMuUgHa8l8se6spxYjfNZoKs),,https://www.govinfo.gov/content/pkg/USCODE-2022-title49/pdf/USCODE-2022-title49-subtitleVII-partA-subpartiii-chap449-subchapI-sec44905.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d,Scenario 1",
49 U.S.C. § 20104(a)(1),,Provides the Federal Railroad Administration with the authority to order restrictions or prohibitions on railroad carriers in emergency situations.,49 U.S.C. 20104,"Department of Transportation,Department of Transportation - Federal Railroad Administration","Natural Disaster,Health Emergency,Potential Public Health Emergency,Act of War,Terrorism","Emergency powers must be necessary to abate an ""emergency situation involving a hazard, death, personal injury, or significant harm to the environment.""",Not applicable,Domestic,No,Legislation,Include,,,7/5/1994,10/16/2008,USCODE-2022-title49-subtitleV-partA-chap201-subchapI-sec20104.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/fZt-rhAr8PZ-sJigQ8cWQw/XJxdsudpVh_KJIReugtHln7aS7uvvRCCb88rxEXjyoy4FHtFjxCRE7_IMzi9gJZ7ut4iGMwAWijD-smqo1j0gz_rYG5BV-svbizP_sX0_ZEjN9lsUxVrzTPf3LUufm8btjrZfQxoNNuKOhDP9y8XyI2cjvDXvrGfRISdN6pieawx7bqArXo9kFLfX4s21o87iOb-baEiQnVhOHIMjnzSG_j_naTBVuXnHY6CZxNTVVA/HG2e9cGsvB8gA6AY3FRFWTQ2umPghYmz5pz7zm-ecbY),,https://www.govinfo.gov/content/pkg/USCODE-2022-title49/pdf/USCODE-2022-title49-subtitleV-partA-chap201-subchapI-sec20104.pdf,No,,Yes,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
49 C.F.R. § 1,,Provides rules for the exercise of authority by the Department of Transportation ,49 C.F.R. 1,Department of Transportation,No triggering event - Capacity Building,,Not applicable,Domestic,No,Regulation,Include,eCFR,,4/5/2016,5/3/2021,49 CFR Part 1 (up to date as of 8-30-2024).pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/25sR6Qf02IvJPuzSJKutLA/kI4xeQkWJCX2dF1x9Cv9mbTwDgfjBMLcE0640GTUajVEPwgGIIdAhndpB7pc_Kfc7Xyi-Nkfa81u9GH0tGh0-kISTMiPF8guJuvAIimIKzt0eF-RHmNR2bPJA26vxqkTDNdZlmGXQDvLcJfZdGkn31aokei8YHg-43IMDSA82TUnH-cGG17oEEqNoK28Irby/HxFWMu4OXUXACkcwjBpVDEib8gyYZB5It0Pn3G3AMuk),,https://www.ecfr.gov/current/title-49/subtitle-A/part-1,No,,Yes,"* 49 C.F.R. § 1.3 - Exercise of authority 
* 49 C.F.R. § 1.4 - Construction
* § 1.45 - Delegations to the Director of the Office of Intelligence, Security, and Emergency Response 
* § 1.74 - Delegations to Inspector General 
* § 1.89 - Delegations to the Federal Railroad Administrator
* § 1.93 - Delegations to the Maritime Administrator 
",,
10 U.S.C. § 12302,Ready Reserve,Authorizes Secretary of Defense to call reserve to active duty for not more than 24 consecutive month; prescribes rules and consideration to be given in deciding which members are called to servicee.,10 U.S.C. 12302,Department of Defense,NEA Emergency Declaration,"Must be a ""national emergency declared by the President after January 1, 1953"" or where otherwise authorized by law. ",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,Include,PNNL,,8/10/1956,12/31/2011,USCODE-2023-title10-subtitleE-partII-chap1209-sec12302.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/uUJnnycQc-qqUxT4Ymz5NQ/45Fk8FCbcoOxfbNbcbtw4mxkW09BgsqRW6_zRxvS6_DDUTIRRMsbolRcx0OIk70mACWtHXiP3K1QXhO3VlQOPZE19PEoLBiP-zcFMUDCWW6EyoERAfpz9ErVg0xcosHuDRAKf6OW1-Zb4ha3ckmp6JAp249IhmuaHwuiRJQQA8fXZen_82aO8B61ALHEsGlrVqF3ASrQK7TGDZh1Hvg-kl6IFLHof1IXzMSvLu1eq7M/mPUX5ttrsrGIBJdzv7UxvcIVdmnK0Zbqf1aOFUoyvso),,https://www.govinfo.gov/content/pkg/USCODE-2023-title10/pdf/USCODE-2023-title10-subtitleE-partII-chap1209-sec12302.pdf,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
10 U.S.C. § 12304,Active Duty ,Authorizes President to augment active forces for any named operational mission; President may authorize Secretary of Defense and Secretary of Homeland Security re: the Coast Guard (when not operating as a service in the Navy) to active duty for not more than 365 consecutive days.,10 U.S.C. 12304,"Department of Defense,Department of Homeland Security,Department of Homeland Security - Coast Guard,Executive Office of the President of the United States","Terrorism,Act of War",Must be in response to: (1) use or threatened use of a weapon of mass destruction; or (2) a terrorist attack or threatened terrorist attack in the U.S. that results or could result in significant loss of life or property.,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,Include,PNNL,,5/14/1976,12/31/2011,USCODE-2011-title10-subtitleE-partII-chap1209-sec12304.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/hLqs42ryNfB9ZufZnYFjkg/jdFcUXzndEhpRukeRk3auQou5F0fY-UqJdwB61T6q16PyB3EorZuVYMdOD13FVNw7hd1K6B4lmGZi2Dx6n2M1aExmUJQeZ1r0Mx1vqM1KGIvYlZZW_ZIlvRUW6C5MHHQ4VqLVtLDPz3wTtyRXbJ50pJAiHQktRhFPivuuvQBb1DzZg53feGpyo8rUAP1KFv2dHlUs0yRdY7zrNMazpFeKalWakZwpK0d8pHbFS86ueM/TY9OKqA7-rPDxoQxNwCPRZXtpcUD5e3neHqJbkWlA_k),,https://www.govinfo.gov/content/pkg/USCODE-2011-title10/pdf/USCODE-2011-title10-subtitleE-partII-chap1209-sec12304.pdf,No,,No,,"Scenario 3b,Scenario 3c",
10 U.S.C. § 12304a,Active Duty ,Authorizes the Secretary of Defense to call Reserves to active duty for up to 120 days to respond to a Stafford Act major disaster when requested by the governor of a state.,10 U.S.C. 12304a,Department of Defense,Presidential Major Disaster Declaration,"Must be a declared ""major disaster"" under the Stafford Act. ",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,PNNL,,12/31/2011,12/31/2011,USCODE-2023-title10-subtitleE-partII-chap1209-sec12304a.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/rOLLf0PU37MZrbltzpSAYQ/VJNif4Z3PWwwHYf2hQYOe0lhttTCtuER8Sou9ojQIlDUReWMI35CvfqO_eo2ibSVqR2WfVwgAocHYDIeB3HLBuYEwYDB29qqeJ63kadohE3SbTVwHuE1Q64hs06xw9C7nsn27EV0bW2RIJMkOpgLzQPrl3-ePNdl5z8hVAPJZNb5VilWnrnBBJbri5Hv3VOlxqxEZMah1d6UKOG59LQSDSGlz31jhrN7ax3A6OWXl6U/EyHWCkzelYVd9xs-3yMdqrOBuWwFgKd0Yqng6r4lEeA),,https://www.govinfo.gov/content/pkg/USCODE-2023-title10/pdf/USCODE-2023-title10-subtitleE-partII-chap1209-sec12304a.pdf,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
10 U.S.C. § 12304b,Active Duty,"Authorizes the Secretary of a military department to augment active forces for a preplanned mission in support of a combatant command, using any unit of the Selected Reserve. Limitations are placed on appropriations and costs.",10 U.S.C. 12304b,Department of Defense,"Act of War,Terrorism,Declaration of War,Insurrection",Must be a pre-planned combatant mission that needs additional troops to augment it.,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,Include,PNNL,,12/31/2011,1/2/2013,USCODE-2023-title10-subtitleE-partII-chap1209-sec12304b.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/ClVcEJRVn4WoOQ14Q6NMpA/wXWGNaRsTZ6HGDQJfgp64V6HfYtDPXHl-sVBA0L7w2Xy16YKUarijAlTJT2ncPtElpYzCtu-ZGri0LwR6Y6ue-YGK_qH1_xjVOn0PLUO5fcs23djIRO160Kqh_nJ1H1SQY_2d1dpbuKxcxp0RJ8hygIUiwBcCSwr_npBxv2kHGHOwtlAtzXqbK_4G9alCBbEtvgg3XH2s28udwsRmI4IehxQW_EOos76EV-F8lsoYFg/4gH0bGSHWx9rRw9HLTNMEr9rv7TxLNolDOmF62Hmt_Q),,https://www.govinfo.gov/content/pkg/USCODE-2023-title10/pdf/USCODE-2023-title10-subtitleE-partII-chap1209-sec12304b.pdf,No,,No,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
10 U.S.C. § 12310,Active Duty ,May require any reserve to organize and perform duties in support of emergency preparedness programs to prepare or respond to specified emergencies.,10 U.S.C. 12310,Department of Defense,No triggering event - Capacity Building,"Must be to prepare for or respond to: (A) use or threatened use of weapon of mass destruction; (B) terrorist attack or threatened terrorist attack; (C) intentional or unintentional release of hazardous chemical, biological, or radiological materials that could result in catastrophic loss of life or property; or (D) a natural disaster that could result in catastrophic loss of life. ",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,Include,PNNL,,8/10/1956,10/28/2009,USCODE-2023-title10-subtitleE-partII-chap1209-sec12310.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/fAWqe7gL3V4TOcJ_qxxoag/d00ALiBV-PMIX63pJytq4v423-k9_D9AyWsZ2siSFOmWjlmbUroE3Je4w25tuY8xpHnUSwXgaRyuPNgGVKHKxoevKib-lzHRvzWWFbUYYZGU8nAML2sbZWDVmTCDjMunQe4Q06s6fDTijajzfHkN16BPdK6QL1qtd4GXIzZvnUHJPOciXt9ySDQrCZ5-vwewWugLJcwEwrxOP6xocLb9TXcLwwFGF5AtLE53GrXFo4I/WQO_piJ5lLUR_D87Ttcc8VBVfsHklCae0fUmoysFfF4),,https://www.govinfo.gov/content/pkg/USCODE-2023-title10/pdf/USCODE-2023-title10-subtitleE-partII-chap1209-sec12310.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
10 U.S.C. § 10102,Reserve Components,"Specifies that the purpose of reserve components is to provide trained units and qualified persons in time of war or national emergency or ""at such other times as the national security may require.""",10 U.S.C. 10102,Department of Defense,No triggering event - Capacity Building,,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,Include,PNNL,,10/5/1994,10/28/2004,USCODE-2023-title10-subtitleE-partI-chap1003-sec10102.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/FtpbJXEFUCFPC0qDOvI9FQ/ra9VqIeIB7VD9rHvoiq5PqZ4VRu9RjQRkUs1WAizujAa1P-mmRzxOJiEYiUNe83n76LrsGF4AFR3eBWNfbQUYspZOL09PN_e-KzhR1TMPa8raah2w42xXG0xvsLpDiGBedux9V8cW58TLgPDmvyQh7c6GNmiCQsHv360Cmn_TQItHA-IDX3FfiXZJjvDUMdCGdcqYtAcfQBWnDCzBzsF1Q/heMrMCyGQGyfrhQACi_I3b_Jsqs6lW9lQE5C-fNTcE4),,https://www.govinfo.gov/content/pkg/USCODE-2023-title10/pdf/USCODE-2023-title10-subtitleE-partI-chap1003-sec10102.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
10 U.S.C. § 2670,,"Allows the Red Cross to use and maintain buildings for storage of supplies for a serious national disaster, under such conditions as the Secretary of Defense shall provide. ",10 USC 2670,Department of Defense,No triggering event - Capacity Building,Part of emergency preparedness generally,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,Include,PNNL,,8/10/1956,10/28/2004,USCODE-2023-title10-subtitleA-partIV-chap159-sec2670.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/5JBVcDmIr9FtxZTARCmztA/09WEcqe3t-wBAwEsr_AlB8CizVDO3xcnY45tpblyzFIHtGEew5SG8dIMBKpY8Vs6JWyhWToPHKvJlXmcVcayH2WTFy3KIZOa2g55vahcllYL1W9jpqsGtCo9Q_y9S3IIrZBCPS3IswEBls6CzEaMMXCtH-JY-XBP2SEJChOTu76wQR50nWgs-VV8jei8Jjpu29y_SHGuDJsmyhIK1fWCmA/ra3F7ilokRMjCNifR-sgLT63-2b-9wMZTVLRHYEYmJ0),,https://www.govinfo.gov/content/pkg/USCODE-2023-title10/pdf/USCODE-2023-title10-subtitleA-partIV-chap159-sec2670.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
