Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Plans & Strategies
42 U.S.C. § 5197,Stafford Act,Vests certain administrative authorities (including ability to hire advisory personnel) in FEMA administrator,Stafford Act,Federal Emergency Management Agency,No triggering event - Capacity Building,Part of disaster preparedness,Mission Assignment/Response Coordination,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/5YZIuuMF5yba3qTbv6sjIA/AiSAjvrm0mLs1l0A1bFGNbWHyBOlLm9XlKJba7ZkZwwtpID9SCCUEv3PHoQLhIJx7bSoZLmqlx9Cy32jr6O8lSzW__AwIJAhyR1OLoOui68sv2ZRCF7ddlqeOtkbqPsmDuupoHhCM528fG8nJwyVFY4pKNFb6z9WBagxLsSZ5Rk/Ei3Vby_gjI9htW9lqmy8MxpOKrExmiN8Bkhn3hntzXY),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,
42 U.S.C. § 5197b,Stafford Act,"Use of Existing Facilities to maximum extent required - also avoid duplication of other departments or agencies
",Stafford Act,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Any carrying out of FEMA director's duties falls under this statutory provision,General Rules and Regulations,When Stafford is trigger,Domestic,Yes - Subject to Posse Comitatus,Legislation,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/5YZIuuMF5yba3qTbv6sjIA/AiSAjvrm0mLs1l0A1bFGNbWHyBOlLm9XlKJba7ZkZwwtpID9SCCUEv3PHoQLhIJx7bSoZLmqlx9Cy32jr6O8lSzW__AwIJAhyR1OLoOui68sv2ZRCF7ddlqeOtkbqPsmDuupoHhCM528fG8nJwyVFY4pKNFb6z9WBagxLsSZ5Rk/Ei3Vby_gjI9htW9lqmy8MxpOKrExmiN8Bkhn3hntzXY),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,
42 U.S.C. § 5197e,Stafford Act,"Authorization of Appropriations and Transfers of Funds ""as may be necessary to carry out the provisions of this title""
",Stafford Act,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Any carrying out of FEMA director's duties falls under this statutory provision,"Appropriations - Emergency Response,Financial Assistance to states or Tribal Nations,Grant Programs or Appropriations (not to states)",When Stafford is trigger,Domestic,Yes - Subject to Posse Comitatus,Legislation,Yes,"Creates funding for ""sums as may be necessary to carry out the provisions of this title.""",No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/5YZIuuMF5yba3qTbv6sjIA/AiSAjvrm0mLs1l0A1bFGNbWHyBOlLm9XlKJba7ZkZwwtpID9SCCUEv3PHoQLhIJx7bSoZLmqlx9Cy32jr6O8lSzW__AwIJAhyR1OLoOui68sv2ZRCF7ddlqeOtkbqPsmDuupoHhCM528fG8nJwyVFY4pKNFb6z9WBagxLsSZ5Rk/Ei3Vby_gjI9htW9lqmy8MxpOKrExmiN8Bkhn3hntzXY),"unsure about powers invoked
",https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,
42 U.S.C. § 5204-5204b,Stafford Act,President must provide certain disaster and technical assistance via FEMA to insular areas ,Stafford Act,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",Presidential Major Disaster Declaration,"A major disaster declaration in an ""insular area."" An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations..","Mission Assignment/Response Coordination,Appropriations - Emergency Response,Financial Assistance to states or Tribal Nations,Federal-State Coordination",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Yes,Provides disaster assistance funding to insular areas,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/5YZIuuMF5yba3qTbv6sjIA/AiSAjvrm0mLs1l0A1bFGNbWHyBOlLm9XlKJba7ZkZwwtpID9SCCUEv3PHoQLhIJx7bSoZLmqlx9Cy32jr6O8lSzW__AwIJAhyR1OLoOui68sv2ZRCF7ddlqeOtkbqPsmDuupoHhCM528fG8nJwyVFY4pKNFb6z9WBagxLsSZ5Rk/Ei3Vby_gjI9htW9lqmy8MxpOKrExmiN8Bkhn3hntzXY),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,
42 U.S.C. § 5206,Stafford Act,Funds appropriated must comply with Buy American policy,Stafford Act,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Any carrying out of FEMA director's duties falls under this statutory provision,"Appropriations - Emergency Response,Government Contracts",When Stafford is trigger,Domestic,Yes - Subject to Posse Comitatus,Legislation,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/5YZIuuMF5yba3qTbv6sjIA/AiSAjvrm0mLs1l0A1bFGNbWHyBOlLm9XlKJba7ZkZwwtpID9SCCUEv3PHoQLhIJx7bSoZLmqlx9Cy32jr6O8lSzW__AwIJAhyR1OLoOui68sv2ZRCF7ddlqeOtkbqPsmDuupoHhCM528fG8nJwyVFY4pKNFb6z9WBagxLsSZ5Rk/Ei3Vby_gjI9htW9lqmy8MxpOKrExmiN8Bkhn3hntzXY),"unsure about powers invoked
",https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,
44 C.F.R. §§ 206.61–206.67,Stafford Act,Federal Disaster Assistance - Emergency Assistance,Title 44 of CFR,Federal Emergency Management Agency,Presidential Emergency Declarations,"An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Financial Assistance to states or Tribal Nations,Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Yes,Funding for emergency assistance (more limited than major disaster declaration),No,"* § 206.62 - Available assistance
* § 206.63 - Provision of assistance
* § 206.64 - Coordination of assistance
* § 206.65 - Cost sharing
* § 206.66 - Limitation on expenditures
* § 206.67 - Requirement when limitation is exceeded","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d,Scenario 1",Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/ZzUIAuLawl8YRwOdZQd0Eg/GSCD2ZO8rATRdTpY4il0444yFwOxtadSB0_CXaNJ8Fv1SYuygucFShQZy6xkC5JOA626_jr_C3K7dJo1oWsfHn55xvbF82-CS9H0E8Twqobram_73ti0Ovkha-HRigj1YI_uLce9aHhetBYiTjQ-pKbL332UF12sjzoLzicY6PFupbZSh0GqUSUFos4p78WQ/uUIddW8uWeVdGpwcrQlljiv21Pr60WbKvb6hb9qjv10),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,
44 C.F.R. §§ 206.200–206.209,Stafford Act,Federal Disaster Assistance - Public Assistance Project Administration,Title 44 of CFR,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Financial Assistance to states or Tribal Nations,Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Yes,"§ 206.203 outlines cost-sharing provisions wherein both small and large projects will be granted, contingent on federal cost-sharing. § 206.208 provides direct federal assistance.",No,"* § 206.203 - Federal grant assistance
* § 206.202 - Application procedures
* § 206.203 - Federal grant assistance
* § 206.207 - Administrative and audit requirements
* § 206.208 - Direct Federal assistance","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/ZzUIAuLawl8YRwOdZQd0Eg/GSCD2ZO8rATRdTpY4il0444yFwOxtadSB0_CXaNJ8Fv1SYuygucFShQZy6xkC5JOA626_jr_C3K7dJo1oWsfHn55xvbF82-CS9H0E8Twqobram_73ti0Ovkha-HRigj1YI_uLce9aHhetBYiTjQ-pKbL332UF12sjzoLzicY6PFupbZSh0GqUSUFos4p78WQ/uUIddW8uWeVdGpwcrQlljiv21Pr60WbKvb6hb9qjv10),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,
44 C.F.R. §§ 206.363–206.377,Stafford Act,Federal Disaster Assistance - Community Disaster Loans,Title 44 of CFR,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Financial Assistance to states or Tribal Nations,Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Yes,Provides a series of loan opportunities to local governments located within the area designated by the Assistant Administrator for the Disaster Assistance Directorate as eligible for assistance under a major disaster declaration.,No,"* § 206.363 - Eligibility criteria 
* § 206.364 - Loan application
* § 206.373 - Eligibility criteria
* § 206.374 - Loan application
* § 206.361 - Loan Program
* § 206.362 - Responsibilities
* § 206.365 - Loan administration
* § 206.366 - Loan cancellation
* § 206.367 - Loan repayment
* § 206.372 - Responsibilities 
* § 206.375 - Loan administration
* §206.376 - Loan cancellation 
* § 206.377 - Loan repayment ","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/ZzUIAuLawl8YRwOdZQd0Eg/GSCD2ZO8rATRdTpY4il0444yFwOxtadSB0_CXaNJ8Fv1SYuygucFShQZy6xkC5JOA626_jr_C3K7dJo1oWsfHn55xvbF82-CS9H0E8Twqobram_73ti0Ovkha-HRigj1YI_uLce9aHhetBYiTjQ-pKbL332UF12sjzoLzicY6PFupbZSh0GqUSUFos4p78WQ/uUIddW8uWeVdGpwcrQlljiv21Pr60WbKvb6hb9qjv10),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,
44 C.F.R. §§ 206.400–206.402,Stafford Act,Federal Disaster Assistance - Minimum Standards (sets out conditions for aid recipients),Title 44 of CFR,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Financial Assistance to states or Tribal Nations,Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Yes,"Conditions funding streams on ""applicable standards of safety, decency, and sanitation.""",No,"* § 206.400 - General 
* § 206.401 - Local Standards
* § 206.402 - Compliance","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/ZzUIAuLawl8YRwOdZQd0Eg/GSCD2ZO8rATRdTpY4il0444yFwOxtadSB0_CXaNJ8Fv1SYuygucFShQZy6xkC5JOA626_jr_C3K7dJo1oWsfHn55xvbF82-CS9H0E8Twqobram_73ti0Ovkha-HRigj1YI_uLce9aHhetBYiTjQ-pKbL332UF12sjzoLzicY6PFupbZSh0GqUSUFos4p78WQ/uUIddW8uWeVdGpwcrQlljiv21Pr60WbKvb6hb9qjv10),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,
44 C.F.R. §§ 206.430–206.440,Stafford Act,Federal Disaster Assistance - Hazard Mitigation Grant Program ,Title 44 of CFR,Federal Emergency Management Agency,No triggering event - Capacity Building,Part of emergency preparedness,Strategies and General Preparedness Efforts,Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Yes,Sets out hazard mitigation grant program rules and procedures,No,"* § 206.436 - Application procedures
* § 206.434 - Eligibility 
* § 206.431 - Definitions
* § 206.432 - Federal Grant assistance 
* § 206.433 - State responsibilities
* § 206.435 - Project identification and selection criteria
* § 206.437 - State administrative plan
* § 206.438 - Project management
* § 206.439 - Allowable costs
","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/ZzUIAuLawl8YRwOdZQd0Eg/GSCD2ZO8rATRdTpY4il0444yFwOxtadSB0_CXaNJ8Fv1SYuygucFShQZy6xkC5JOA626_jr_C3K7dJo1oWsfHn55xvbF82-CS9H0E8Twqobram_73ti0Ovkha-HRigj1YI_uLce9aHhetBYiTjQ-pKbL332UF12sjzoLzicY6PFupbZSh0GqUSUFos4p78WQ/uUIddW8uWeVdGpwcrQlljiv21Pr60WbKvb6hb9qjv10),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,
44 C.F.R. § 323 - Appendix 1,Stafford Act,List of Essential Survival Items in case of a nuclear attack - major attention should be given to insure the basic essentials in case of such an attack ,44 CFR 323 appendix,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency",No triggering event - Capacity Building,Requires proactive steps in case of a health emergency caused by a nuclear attack,"Health and Safety Regulations,Provision of Supplies",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Regulation,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,eCFR,,7/1/1980,1/3/2017,Appendix 1 to Part 323_ Title 44 (up to date as of 8-23-2024).pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/66JlmmPms5tiWQs4zMg_Lw/W2iQWueW0yARzQ8vvTXLf4AV6TqjhRP7Cgoxt19Er15P1pagV8BQXkJnPN8ZPDd6eGC0h2eyhdxzQHhs81anwORljAReSvTkOURxTYjlx8kClLR5ZR2l90U2cUjEhj0JuMEjUM0TjFprEFI2x96mRGhGd7kr1P0lrcNjS_mnSD2jgSbUN-vJOzcWqzoaD-OVpbpxkjJ7dBt2CTMvRgZR-g/3F1O4WSv4fJ4Z_AXueHZWtncXu46eEEbuZQlocv45f4),,https://www.ecfr.gov/current/title-44/chapter-I/subchapter-F/part-323/appendix-Appendix%201%20to%20Part%20323,
42 U.S.C. § 1533,Stafford Act ,"Allows the President to establish ""pre disaster hazard mitigation"" programs for local and state governments",Stafford Act,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","No triggering event - Capacity Building,Presidential Major Disaster Declaration","Needs a Presidential ""major disaster declaration"" in the previous 7 years (no current emergency required)","State plan requirement,Federal-State Coordination",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Yes,"$575,000 grants to local governments to provide technical assistance and financial assistance for pre disaster hazard mitigation programs",No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/5YZIuuMF5yba3qTbv6sjIA/AiSAjvrm0mLs1l0A1bFGNbWHyBOlLm9XlKJba7ZkZwwtpID9SCCUEv3PHoQLhIJx7bSoZLmqlx9Cy32jr6O8lSzW__AwIJAhyR1OLoOui68sv2ZRCF7ddlqeOtkbqPsmDuupoHhCM528fG8nJwyVFY4pKNFb6z9WBagxLsSZ5Rk/Ei3Vby_gjI9htW9lqmy8MxpOKrExmiN8Bkhn3hntzXY),"Unclear which agencies administer this (probably FEMA, but need to check the CFR)
",https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,
42 U.S.C. § 5152,Stafford Act ,"Enables President to utilize and coordinate, with their consent, with domestic recovery groups and disaster assistance organizations ",Stafford Act,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.","Federal-State Coordination,Mission Assignment/Response Coordination,Provision of Medical Care,Movement of Patients,Movement of Medical Personnel",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Yes,May contract with and utilize relief organizations for the provision of aid,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/5YZIuuMF5yba3qTbv6sjIA/AiSAjvrm0mLs1l0A1bFGNbWHyBOlLm9XlKJba7ZkZwwtpID9SCCUEv3PHoQLhIJx7bSoZLmqlx9Cy32jr6O8lSzW__AwIJAhyR1OLoOui68sv2ZRCF7ddlqeOtkbqPsmDuupoHhCM528fG8nJwyVFY4pKNFb6z9WBagxLsSZ5Rk/Ei3Vby_gjI9htW9lqmy8MxpOKrExmiN8Bkhn3hntzXY),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,
42 U.S.C. § 1570b(a),Stafford Act ,"Federal agencies may provide assistance to meet ""immediate threats to life and property"" ",Stafford Act,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,"An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.","Appropriations - Emergency Response,Waiver",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Yes,Funds as necessary and subject to appropriation rules,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/5YZIuuMF5yba3qTbv6sjIA/AiSAjvrm0mLs1l0A1bFGNbWHyBOlLm9XlKJba7ZkZwwtpID9SCCUEv3PHoQLhIJx7bSoZLmqlx9Cy32jr6O8lSzW__AwIJAhyR1OLoOui68sv2ZRCF7ddlqeOtkbqPsmDuupoHhCM528fG8nJwyVFY4pKNFb6z9WBagxLsSZ5Rk/Ei3Vby_gjI9htW9lqmy8MxpOKrExmiN8Bkhn3hntzXY),"unsure about powers invoked
",https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,
15 C.F.R. §§ 700.1–700.93,Stafford Act ,Defense Priorities and Allocations System to support the Defense Production Act and the Stafford Act,Stafford Act,"Department of Defense,Department of Commerce","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Authorizes Department of Commerce to use delegated authority on contracts in times of Stafford Emergencies,"Government Contracts,Defense Production Act",Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Yes,Establishes several funding schemes and allocations + allows Department of Commerce to establish an ordering,No,"* § 700.3: Priority ratings and rated orders
* § 700.8: Definitions
* §§ 700.10–700.18: Industrial Priorities
* §§ 700.30–700.36: Allocation Actions
* § 700.55: Homeland security, emergency preparedness, and critical infrastructure protection and restoration assistance programs within the United States
* § 700.62 - Directives
* § 700.63: Letters of Understanding
* Schedule I: Approved Programs and Delegate Agencies","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Parallel Table U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/5YZIuuMF5yba3qTbv6sjIA/AiSAjvrm0mLs1l0A1bFGNbWHyBOlLm9XlKJba7ZkZwwtpID9SCCUEv3PHoQLhIJx7bSoZLmqlx9Cy32jr6O8lSzW__AwIJAhyR1OLoOui68sv2ZRCF7ddlqeOtkbqPsmDuupoHhCM528fG8nJwyVFY4pKNFb6z9WBagxLsSZ5Rk/Ei3Vby_gjI9htW9lqmy8MxpOKrExmiN8Bkhn3hntzXY),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,
42 C.F.R. § 483,Standards and Certification,Requirements for Long Term Care Facilities - Waivers in emergencies and major disasters,Title 42 CFR,Department of Health and Human Services,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Waiver,When Stafford is trigger,Domestic,No,Regulation,No,,Yes,"* § 483.90 - Physical environment (long-term care facilities)
* § 483.470 - Condition of Participation: Physical environment - (intermediate care facilities for individuals with intellectual disabilities)","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,eCFR,,,8/1/2020,CFR-2020-title42-vol1.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/O4dt7hyZD-CuIxtR6dkKoQ/hNJaGkwnxKUsZuBE-uTqbeGogOVHFNAfTK2H3doWSfgTUIP1ZnPozUH-vW80Xgt8g8BvHM6qAqpek5Pv7RKQLhZXESuanUvASFCoX2DgdCA3riPZe3E1O1lBRlTH3Rk9svBGM3g2N8Wb7aJgeU5NI4Ptto1Uszz7hHwnpv6NDyk/RjGpxvxLR86X-KM7hOMOJa9AxgZ9BciUiZvH7F0FpJM),,https://www.govinfo.gov/content/pkg/CFR-2020-title42-vol1/pdf/CFR-2020-title42-vol1.pdf,
42 C.F.R. §§ 482–494,Standards and Certification - Conditions of Participation,"Sets out requirements for participation in Medicare for various programs, as well as outlining emergency preparedness and waiver requirements",Title 42 CFR,Department of Health and Human Services,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations. Also requires general emergency preparedness","General Rules and Regulations,Provision of Medical Care",When Stafford is trigger,Domestic,No,Regulation,No,,Yes,"* § 482.15: Conditions of Participation for Hospitals - Emergency Preparedness
* § 483.73 - Requirements for Long Term Care Facilities - Emergency Preparedness
* § 483.475 - Condition of Participation for Intermediate Care Facilities for Individuals with Intellectual Disabilities - Emergency Preparedness
* § 485.542 - Rural Emergency Hospitals - Emergency preparedness
* § 485.625 - Critical Access Hospitals - Emergency Preparedness
* § 485.920 - Community Mental Health Centers - Emergency Preparedness
* § 489.24 - Special Responsibilities of Medicare hospitals in emergency cases
* § 494.62 - End-Stage Renal Disease Facilities - Condition of Participation: Emergency Preparedness","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,eCFR,,,8/1/2020,CFR-2020-title42-vol1.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/O4dt7hyZD-CuIxtR6dkKoQ/hNJaGkwnxKUsZuBE-uTqbeGogOVHFNAfTK2H3doWSfgTUIP1ZnPozUH-vW80Xgt8g8BvHM6qAqpek5Pv7RKQLhZXESuanUvASFCoX2DgdCA3riPZe3E1O1lBRlTH3Rk9svBGM3g2N8Wb7aJgeU5NI4Ptto1Uszz7hHwnpv6NDyk/RjGpxvxLR86X-KM7hOMOJa9AxgZ9BciUiZvH7F0FpJM),,https://www.govinfo.gov/content/pkg/CFR-2020-title42-vol1/pdf/CFR-2020-title42-vol1.pdf,
42 U.S.C. § 247d-6b,Strategic National Stockpile and security countermeasure procurements,"Requires the Secretary of HHS, in collaboration with Assistant Secretary of ASPR, Director of CDS, and in collaboration with Homeland Security, to maintain stockpile of drugs, vaccines, and other biological products, medical devices and other supplies in such numbers, types, and amounts as are determined consistent with § 300hh-10 to be appropriate and practicable to protect from a bioterrorism attack or other public health emergency. ",42 247d-6b ,"Department of Health and Human Services,Administration for Strategic Preparedness and Response,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Homeland Security",No triggering event - Capacity Building,Part of emergency preparedness more generally ,Defense Production Act,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Regulation,Yes,Provides funding and appropriations to maintain SNS,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,U.S. Code,,7/1/1944,12/29/2022,USCODE-2022-title42-chap6A-subchapII-partB-sec247d-6b.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/-twzQ_Z2Fra99xMiU3Og9Q/dlEHvc0TivK07lkEdvqBz_MJJOvgebhgKxqMQL5OreIDx3kioYpAX0tZQV-3USNlceOaWmoI7QX53Y1NqHSNsOX8nMCEFNoqyg_3ot0J86VVivGMdGecMAczF399TPgyrmxVZVtr6ZI21nohU9Dqmns6u_Meebdd2yjn4ztT5zZCtLVRejtxYNrLA3Q1AJLML7I3iyYftUv02ExKwAL6ew/7dbGS3rgr1rl9F28G1siJgBvOQ1evosB3JJUatGmaCA),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap6A-subchapII-partB-sec247d-6b.pdf,
