Citation,Parent Statute,Document Description,File,Date Originally Published (from File),Date Last Updated (from File)
Executive Order 13909,,This EO invokes the Defense Production Act to allocate medical resources and ensure that necessary supplies are meeting the needs of the healthcare system. The goal is to support the national pandemic response.,Executive Order 13909,3/18/2020,
Executive Order 13910,,This EO makes hoarding and price gouging medical resources needed to respond to COVID-19 illegal.,Executive Order 13910,3/23/2020,
Executive Order 13911,,This EO expands the government's ability to address COVID-19 under the DPA by empowering various departments to distribute resources and expand production of essential supplies.,Executive Order 13911,3/27/2020,
Executive Order 13987,,This EO creates the position of Coordinator of the COVID-19 Response and Counselor to the President. It aims to ensure a widespread effort to limit the spread of COVID-19 by reducing response disparities and coordinating the distribution of supplies and vaccines.,Executive Order 13987,1/20/2021,
Executive Order 13990 ,,This EO aims to reverse previous environmental policies and combat climate change by addressing communities disadvantaged by previous actions and emphasizing the use of science as the basis of policy-making. It specifically works to revoke the Keystone XL pipeline and gas leasing from the Arctic National Wildlife Refuge. ,Executive Order 13990 ,1/20/2021,
Executive Order 13703,,"This EO aims to implement the national HIV/AIDS strategy for 2015-2020, building on the initial strategy. It works to coordinate efforts to reduce new HIV infections, increasing access to care and improving treatments for diagnosed individuals. It addresses disparities related to gender, race, and sexual orientation.",Executive Order 13703,7/30/2015,
42 U.S.C. § 249,Public Health Service Act,Entitles any person detained in accordance with quarantine laws or detained by INS to be treated and cared for by the Public Health Service or at the expense of the Service,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. §§ 250-250a,Public Health Service Act,"Entitles federal prisoners to medical treatment and ""related technical and scientific services"" and provides that Attorney General may transfer to HHS amounts necessary to provide medical relief",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 251,Public Health Service Act,"Authorizes Surgeon General to provide services and treatment to employees of the Federal Government under set circumstances, such as retirement and applicants for appointment; also authorizes provision of services in ""remote"" areas; authorizes appropriation to Public Health Service to reimburse",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. §§ 253-253b,Public Health Service Act,"Provides health care for Coast Guard, National Oceanic and Atmospheric Administration, U.S. Coast Guard Reserve, and involuntarily separated officers and dependents; also authorizes examination of personnel assigned to Coast Guard or National Oceanic and Atmospheric Administration; furnishes care to retired members of service and former lighthouse service employees under certain circumstances",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. §254a,Public Health Service Act,"Requires PHS to enter into arrangements with hospitals to provide quality care, specifically to give reciprocal reimbursements for ""specialized health services"" to one another; also allows Secretary of HHS to enter into agreements or arrangements with medical schools to interchange facilities and services for training and research",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 264,Public Health Service Act,"Surgeon General with HHS are authorized to make and enforce regulations to prevent the ""introduction, transmission, or spread of communicable diseases"" from foreign countries to the U.S., or from one state to another. May provide for the apprehension or detention of individuals for the above purposes. Individuals must ""reasonably believed to be infected"" with a communicable disease in a communicable or pre communicable stage that might trigger a public health emergency if transferred to other individuals.",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 265,Public Health Service Act,Allows Surgeon General to suspend entries and imports from designated places for a period of time as deemed necessary to avert the spread of a communicable disease.,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 266,Public Health Service Act,"Creates special quarantine powers in time of war. Specifically, authorizes SG to apprehend and examine any individual: ""believed (1) to be infected with such disease and (2) to be a probable source of infection to members of the armed forces."" If an individual is found to be infected, they may be detained for a time and manner that is ""reasonably necessary."" ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 267,Public Health Service Act,"Authorizes the Surgeon General to ""control, direct, and manage"" all U.S. quarantine stations and grounds to prevent the introduction of communicable diseases. Also authorizes the establishment of additional stations, grounds, and anchorages. Provides for inspection, overtime pay for employees of the Service, and creates U.S. bonds to assure payment for appropriation. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 268,Public Health Service Act,Requires consular and medical officers to report to the SG on the health conditions at their port; customs officers and Coast Guard officers must aid in enforcing quarantine rules and regulations but no additional compensation will be provided other than traveling expenses,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. §269,Public Health Service Act,Requires vessels to obtain bill of health at port of possession; also requires compliance with sanitation regulations,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 270,Public Health Service Act,Quarantine regulations also apply to air navigation and aircrafts to an extent necessary to safeguard public health,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 256c,Public Health Service Act,Allows the Secretary of HHS to enter into negotiations with vaccine manufacturers to establish and maintain vaccine bulk purchasing agreements,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. §256b,Public Health Service Act,"Requires Secretary to enter into agreement with each manufacturer of covered outpatient drugs about payment, including any rebate or discount, for covered outpatient drugs. This price cannot exceed the average manufacturing tuner price. Covered programs are federally-funded programs or activities that provide medical treatment. Prohibits covered entities from reselling to non-patients. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 256,Public Health Service Act,Authorizes HHS to award grants to develop integrated health systems for people who are uninsured or underinsured,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300 hh,Public Health Service Act,"Stipulates that the Secretary of HHS shall lead all Federal public health and medical response to ""public health emergencies and incidents covered by the National Response Plan""; HOWEVER, DoD retains control of any DoD assets; requires coordination of other federal agencies and an annual report on emergency response and preparedness. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300hh-3,Public Health Service Act,Establishes in the Executive Office of the President an Office of Pandemic Preparedness and Response Policy and sets forth the responsibilities of this office. Authorizes collaboration and coordination with relevant agencies. ,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300hh-13,Public Health Service Act,"Requires HHS to carry out a program to periodically conduct public health surveillance activities relating to a bioterrorism attack or other health emergency to test new and emerging technologies. Must consult with public, nonprofit, and private entities and must report to Congress. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300hh-16,Public Health Service Act,"HHS must monitor emerging concerns for at-risk individuals, oversee the implementation of preparedness goals with respect to them, evaluate communication methods, and provide guidance to ensure that State and local health grant recipients take them into account. They must also ensure that the strategic national stockpile takes into account at-risk populations and also curriculum for public health and medical response training. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300hh-17,Public Health Service Act,"HHS shall provide guidance and technical assistance to federally-funded health programs and activities, as well as to State and local health departments to better meet the needs of populations served by the above. They may also encourage employees at these health centers to participate in emergency response programs like NDMS and the Volunteer Medical Reserve Corps. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300hh-31,Public Health Service Act,"HHS through CDC shall establish a grant program to award State, local, and tribal health departments, as well as academic centers, for surveillance and response to infectious diseases. It authorizes appropriations for this purpose. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300hh-32,Public Health Service Act,"CDC may enter into cooperative agreements with health departments or political subdivisions in States and Tribal areas at high risk of vector-borne diseases. The purpose is to increase capacity to ""identify, report, prevent, and respond to such diseases and related outbreaks."" Authorizes appropriations.",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300hh-33,Public Health Service Act,"Requires the CDC to expand, modernize and improve public health data systems as they relate to preparedness for public health emergencies.",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. §§ 300aa-1 - 300aa3,Public Health Service Act,"Establishes the National Vaccine Program to ""achieve optimal prevention against adverse reactions to vaccines."" This program is responsible for development, safety, licensing, distribution, and evaluation, as well as coordinating government and non-government activities and funding federal agencies. Requires the preparation and implementation of a plan.",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300d-91,Public Health Service Act,"Creates up to 20 eligible high-acuity trauma centers to enable military trauma teams to provide trauma and related acute care on a full-time basis. Includes grant funding. When there is a public health emergency, the grant recipient shall agree to allow their providers to be deployed for military operations, for training, or for response to a mass casualty event and be deployed by the Secretary of Defense in response to a public health emergency.",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. §§ 300d-3 - 300d-6,Public Health Service Act,"Grants to eligible entities for the improvement of emergency services, with specific reference to improving trauma care in rural areas",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300hh-35,Public Health Service Act,"CDC shall develop infectious disease and outbreak analysis capabilities to ""enhance the prediction, modeling, and forecasting of potential public health emergencies and other infectious disease outbreaks,"" including activities to prepare for such emergencies. Contains periodic congressional reporting requirements. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 300hh-37,Public Health Service Act,"Creates ""One Health framework"" for addressing zoonotic diseases and vests authority for that framework in the CDC. Contains periodic reporting requirements to Congress. ",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. §§ 300d-81 - 300d-82,Public Health Service Act,"Creates grants to states for the purposes of promoting universal access to trauma care services, with the requirement that appropriations be divided evenly among states with trauma centers eligible for funding",Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 2001,Public Health Service Act,Functions and duties of the Bureau of Indian Affairs transferred to HHS; hospitals shall not be closed without consent of governing body of tribe if opened prior to 1956l Allows contracting with consent of Indian people served with private or non-Federal health agencies for provision of health services ,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 2002 ,Public Health Service Act,Allows the federal government to contract with Indian Tribes and requires contracts be approved by Indian Tribal authorities; Provides conditions for contracting and resuming management or operation of a health facility that fails to make improvements,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 2004,Public Health Service Act,Transfers personnel who were previously at the BIA to HHS,Public Health Service Act,7/1/1944,7/2/2024
42 U.S.C. § 11705,Public Health Service Act,"Allows HHS in consultation with Papa Ola Lokahi to make grants to or enter into contracts for the purpose of health promotion and disease prevention among Native Hawaiians; Gives preference to Native Hawaiian organizations; Requires outreach, education, immunizations, nutrition, and other services; Mandates data collection.",Public Health Service Act,7/1/1944,7/2/2024
Presidential Directive - 2020-17386,,"This directive extends federal support to use the National Guard to respond to COVID-19 for economic recovery. It authorizes the National Guard to be used by state governors, and funds activities related to preventing and responding the public health threat. This directive specifically extends power to Florida.
",Presidential Directive 2020-17386,8/6/2020,
Presidential Directive - 2020-17371,,"This directive extends federal support to use the National Guard to respond to COVID-19 for economic recovery. It authorizes the National Guard to be used by state governors, and funds activities related to preventing and responding the public health threat. This directive specifically extends power to Texas.
",Presidential Directive 2020-17371,8/6/2020,
Presidential Directive - 2020-17370,,"This directive extends federal support to use the National Guard to respond to COVID-19 for economic recovery. It authorizes the National Guard to be used by state governors, and funds activities related to preventing and responding the public health threat. This directive specifically extends power to: Alabama, Alaska, Arizona, California, Colorado, Connecticut,
Delaware, Georgia, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Mississippi, Missouri,
Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico,
New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Utah,
Vermont, Virginia, Washington, West Virginia, Wisconsin, and the territories
of Guam, Puerto Rico, and the U.S. Virgin Islands 
",Presidential Directive - 2020-17370,8/6/2020,
Presidential Directive - 2020-17788,,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of Connecticut.,Presidential Directive - 2020-17788,8/12/2020,
Presidential Directive - 2020-17786,,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of California.,Presidential Directive 2020-17786,8/12/2020,
Presidential Directive - 2020-17897,,This directive outlines relief for federal student loan borrowers during the COVID-19 pandemic. It extends the suspension of loan payments and halts interest accrual.,Presidential Directive - 17897,8/13/2020,
Presidential Directive - 2020-17899,,"This directive outlines measures to defer certain payroll tax obligations in response to the COVID-19 pandemic. It defers the employee portion of Social Security taxes for wages paid between 9/1-12/31/2020, providing financial relief.",Presidential Directive - 2020-17899,8/13/2020,
Presidential Directive - 2020-17784,,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of Arizona.,Presidential Directive - 2020-17784,8/12/2020,
Presidential Directive - 2020-19599,,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of Louisiana.,Presidential Directive - 2020-19599,9/2/2020,
42 C.F.R. §§ 422.100(m),Medicare and Medicaid Act,"Revises Medicare Advantage (Part C) and Part D (prescription) plans to implement special requirements during disasters or public emergencies. During times of emergency or disaster, MA plans must cover services provided by non-contracted providers and waive gatekeeper referral requirements. The rule clarifies that MA organizations must comply with these requirements for the entire time that there is disruption to health care access. ",Medicare Program - Policy and Regulatory Revisions in Response to the COVID–19 Public Health Emergency,6/26/1998,6/5/2023
"42 CFR §§ 400, 405, 409, 410, 412, 414, 415, 417, 418, 421, 422, 423, 425, 440, 482, and 510",Medicare and Medicaid Act,"Modifies Medicare payment rules for COVID-19 in order to assist health Medicare providers in applying ""innovated uses of technology and capacity"" that ""might... be effective in the efforts to mitigate the impact of the pandemic on Medicare beneficiaries."" Specifically, the rule allows Telehealth on a greater basis; alters the payment policies for independent laboratories; and expanding the locations to which Medicare covers ambulance transports under Medicare Part B. The rule also amends Medicaid home health regulations to allow licensed practitioners to order home health services for the public health emergency. Notably, the rule does not  modify arrangements to give hospitals broader flexibilities to provide hospital services outside of the hospital. ",Medicare and Medicaid Programs; Policy and Regulatory Revisions in Response to the COVID–19 Public Health Emergency,4/6/2020,5/11/2023
Presidential Directive - 2020-08958,,"This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to Alabama, Alaska, and Delaware. ",Presidential Directive 2020-08958,4/24/2020,
Presidential Directive 2020-09540,,This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to North Dakota. ,Presidential Directive 2020-09540,5/1/2020,
Presidential Directive 2020-10437,,This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to South Dakota. ,Presidential Directive 2020-10437,5/13/2020,
Presidential Directive 2020-11427,,This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to Utah. ,Presidential Directive 2020-11427,5/26/2020,
Presidential Directive 2020-12431,,"The memorandum authorizes the continuation of 100% federal cost-sharing for National Guard activities related to COVID-19 response efforts in most states and territories. It also specifies that for certain states (Florida and Texas), the federal government will cover 75% of the costs. ",Presidential Directive - 2020-12431,6/5/2020,
National Security Decision Directive 189,,"This directive outlines US national policy for managing scientific, technological, and engineering information derived from federally-funded research at various institutions. ""Fundamental research"", as defined by this directive, is basic and broadly applicable scientific research. This directive emphasizes that such fundamental research should remain unrestricted, unless there are national security concerns that require it to be classified. Research projects should be reviewed for classification before federal grants are awarded.",NSDD 189,9/21/1985,
Homeland Security Presidential Directive 21,,"This directive outlines the National Strategy for Public Health and Medical Preparedness in the US, aiming to protect public health during disasters. It defines key terms, provides background on the US healthcare system, and establishes preparedness policies. It focuses on biosurveillance, countermeasure distribution, mass casualty care, and community resilience. It also emphasizes the need for coordination between different levels of government. ",HSPD 21,10/18/2007,
Homeland Security Presidential Directive 18,,"This directive explains the strategy for developing medical countermeasures to weapons of mass destruction. It recognizes the importance of CBRN threats, and establishes a coordinated framework for research and development efforts. It also calls for an interagency committee to advise the coordination and establishment of medical countermeasures.",HSPD 18,1/31/2007,
Homeland Security Presidential Directive 9,,"This directive establishes national policy aimed at safeguarding US agriculture and food system from terrorist attacks, disasters, and other emergencies. It recognizes the presence of disease, pests, and harmful agents, and looks towards protection of these natural or introduced agents. This directive outlines infrastructure, surveillance, and robust screening and inspection procedures through a multiagency effort. ",HSPD 9,1/30/2004,
Homeland Security Presidential Directive 7,,"This directive establishes the framework for identifying and protecting critical infrastructure in the US from terrorist attacks. It recognizes physical and cyber attacks and emphasizes the importance of security, requiring federal departments to submit plans for specific critical infrastructure they operate.",HSPD 7,12/17/2003,
Homeland Security Presidential Directive 5,,This directive directs Homeland Security to develop a National Incident Management System to coordinate efforts between all levels of government during domestic incidents. It mandates that agencies adopt NIMS and emphasizes its importance in various emergencies. ,HSPD 5,2/28/2003,
National Security Presidential Directive 17,,"This directive emphasizes the need for measures to prevent acquisition of WMD by adversary parties, integrating counterproliferation, nonproliferation, and consequence management. It emphasizes intelligence collection, research and development, multilateral cooperation, and targeted strategies as part of this effort. ",NSPD 17,9/14/2002,
Presidential Policy Directive 21,,"This directive is aimed at strengthening US infrastructure by protecting services and systems that fight against physical and cyber threats. It improves coordination between different levels of government, and identified key infrastructure sectors. It also works to improve information exchange and update the NIPP.",PPD 21,2/12/2013,
Presidential Policy Directive 8,,"This directive builds on HSPD-8, and includes an implementation plan, a national preparedness goal, and national planning frameworks to protect the nation against terrorist acts, natural disasters, and other incidents.",PPD 8,3/30/2011,
Presidential Policy Directive 2,,"This directive was issued to ensure the implementation of the National Strategy for Countering Biological Threats. It gives the executive branch 180 days to develop initial implementation plans, provides budget guidance, establishes an interagency policy committee for oversight, and mandates yearly progress reports.",PPD 2,11/23/2009,
Presidential Directive 2013-07926,,This directive gives the Secretary of the HHS authority to appoint commissioned officers to the Ready Reserve Corps for public health service. ,2013-07926,4/4/2013,
Presidential Directive 2011-14236,,"This directive outlines the delegation of authority from the Secretary of HHS to the Assistant Secretary for Health, allowing them to appoint commissioned officers to the Ready Reserve Corps as part of the PHS. ",2011-14236,6/7/2011,
Presidential Directive 02-33047,,This directive establishes officers within FEMA to obtain the position of the Director of FEMA in the event of the director's absence. It ensures a continuity of leadership and establishes effective management during all times. ,02-33047,12/30/2002,
Homeland Security Presidential Directive 10,,"This directive established comprehensive national policy for biodefense, including threat awareness, surveillance, and protection to biological threats. It emphasizes the need for action against bioterrorism across various federal departments and agencies.",HSPD 10,3/28/2004,
Homeland Security Presidential Directive 18,,"This directive was establish to enhance preparedness against CBRN threats. HHS is tasked with leading medical countermeasures, and an intelligence committee is established. Other important aspects include strategic planning, development and execution, risk assessment, and infrastructure and testing. ",HSPD 18,1/31/2007,
Presidential Memorandum on the Support for National Biodefense,,This directive establishes policy to protect national and economic security from biological threats. It relies on the National Biodefense Strategy and establishes a Biodefence Steering Committee along with a Biodefense Coordination Team. Agencies are required to assess and report on programs contributing to biodefense objectives.,Presidential Memorandum on the Support for National Biodefense,9/18/2018,
Presidential Decision Directive NSTC 7,,"This directive addresses the threat of emerging infectious diseases by improving surveillance, prevention, and response. It also acknowledges increasing threats and requires agencies to report progress to the National Science and Technology Council. ",PDD NSTC 7,6/12/1996,
Presidential Directive 2020-19504,,"This directive pertains to TRICARE coverage during COVID. This insurance for military personnel and their families expanded its coverage to add medical benefits, addressing challenges introduced by the pandemic by including telemedicine, COVID diagnostic testing, and treatment. ",2020-19594,9/3/2020,
42 U.S.C. § 1302,Rules and regulations; impact analyses of Medicare and Medicaid rules and regulations on small rural hospitals,"Empowers the Secretary of the Treasury, the Secretary of Labor, and the Secretary of HHS to make and publish rules and regulations regarding participation in Medicare and Medicaid for small rural hospitals. ",USC Title 42,7/1/1944,12/13/2016
42 U.S.C. § 1395hh,,Gives the Secretary of HHS the authority to promulgate regulations as necessary to carry out administration of insurance programs and sets out the rules the Secretary must follow when issuing regulations.,USC Title 42,7/1/1944,12/13/2016
42 U.S.C. § 1395rr,,Sets out rules for payment/reimbursement for dialysis support services and the Hepatitis B vaccine and enables the Secretary of HHS to make regulations.,USC Title 42,7/1/1944,12/13/2016
42 C.F.R. § 482,CONDITIONS OF PARTICIPATION FOR HOSPITALS,Conditions of Participation for Hospitals (Medicare),42 CFR 482,6/17/1986,8/4/2024
44 C.F.R. § 18.2,FEMA - General,Emergency Acquisition Flexibilities,48 CFR 18.203,7/5/2006,8/8/2024
47 C.F.R. § 11.54,EAS operation during a National Level emergency,Sets out requirements for Emergency Alert System,47 C.F.R. 11.54,12/28/1994,8/8/2024
44 C.F.R. §§ 350-354,FEMA - Preparedness,"Sets out requirements for radiological emergency preparedness, including for commercial nuclear power plants and other radiological emergencies",Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. § 360,FEMA - Preparedness,State Assistance Programs for Training and Education in Comprehensive Emergency Management ,Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. § 361,FEMA - Preparednesss,National Earthquake Hazards Reduction Assistance Program,Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. § 333,FEMA - Preparedness,Emergency Management Priorities and Allocations System,Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. § 334,FEMA - Preparedness,Graduated Mobilization Response (for Federal Agencies),Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. § 332,FEMA - Preparedness,"Allows for voluntary agreements under Section 708 of the Defense Production Act of 1950, as amended",Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. § 331,FEMA - Preparedness,Preservation of the Mobilization Base Through the Placement of Procurement and Facilities in Labor Surplus Areas,Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. § 302,FEMA - Preparedness,Civil Defense-State and Local Emergency Management Assistance Program (EMA),Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. § 300,FEMA - Preparedness,Technical and Financial assistance for disaster preparedness,Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. § 304,FEMA - Preparedness,Consolidated Grants to Insular Areas,Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. § 312,FEMA - Preparedness,"Use of Civil Defense Personnel, Materials, and Facilities for Natural Disaster Purposes",Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. § 321,FEMA - Preparedness,Maintenance of the Mobilization Base,Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. § 323,FEMA - Preparedness,Guidance on Priority Use of Resources in Immediate Post Attack Period,Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. § 327,FEMA - Preparedness,Policy on Use of Government-Owned Industrial Plant Equipment by Private Industry ,Title 44 of CFR,1/3/2017,3/22/2024
Presidential Directive 2022-04778,,This directive outlines measures aimed at enhancing efforts in response to COVID-19. It delegates that FEMA provide 100% federal cost share for all work eligible for assistance. ,2022-04778,3/4/2022,
Presidential Directive 2022-07756,,"This memorandum addresses long term affects of COVID-19, emphasizing the need for a comprehensive response. It delegates HHS to coordinate government-wide responses to the pandemic and calls for the development of a a National Research Action Plan on COVID long term and the fostering of new treatments and care models. It also emphasizes the need for support services and mental health care, and requires the HHS to publish a report on how the various federal agencies can offer support to those heavily impacted by the pandemic. ",2022-07756,4/8/2022,
Presidential Directive 2023-28947,,"This directive was published under the Defense Production Act, and identifies medical countermeasures and critical technology/materials as vital to national defense. It authorizes the expansion of domestic production of these items and addresses shortfalls. ",2023-28947,1/2/2024,
Presidential Directive 2020-04926,,"This directive delegates functions under the National Defense Authorization Act for the 2020 Fiscal Year to various federal department secretaries, involving specific sections of the act such as sanctions regarding North Korea. ",2020-04926,3/9/2020,
Presidential Directive 2020-05580,,"This memorandum directs the HHS and Department of Labor to take necessary steps to ensure that respirators are available for healthcare workers during the COVID-19 pandemic. It was issued in response to anticipated respirator shortages. 
",2020-05580,3/16/2020,
Presidential Directive 2020-06476,,"This directive addresses the federal support for governors to use the National Guard in response to COVID-19. It extends the 100% federal cost share assistance for the National Guard to California, New York, and Washington. ",2020-06476,3/26/2020,
Presidential Directive 2020-06989,,"This directive addresses the federal support for governors to use the National Guard in response to COVID-19. It extends the 100% federal cost share assistance for the National Guard to Connecticut, Illinois, Massachusetts, and Michigan.",2020-06989,4/1/2020,
Presidential Directive 2020-06987,,"This directive addresses the federal support for governors to use the National Guard in response to COVID-19. It extends the 100% federal cost share assistance for the National Guard to Florida, Louisiana, Maryland, and New Jersey and the
territories of Guam and Puerto Rico.",2020-06987,4/1/2020,
Presidential Directive 2020-07453,,"This directive addresses the federal support for governors to use the National Guard in response to COVID-19. It extends the 100% federal cost share assistance for the National Guard to Georgia, Hawaii, Indiana, Missouri, New
Hampshire, New Mexico, Ohio, Rhode Island, Tennessee, and Texas and
the territory of the U.S. Virgin Islands.",2020-07453,4/7/2020,
Presidential Directive 2020-07801,,"This directive addresses the federal support for governors to use the National Guard in response to COVID-19. It extends the 100% federal cost share assistance for the National Guard to Arizona, Colorado, Kentucky, Mississippi, Montana, Nevada,
North Carolina, Oregon, Pennsylvania, South Carolina, Virginia, Wisconsin, and West Virginia.",2020-07801,4/10/2020,
Presidential Directive 2020-08397,,"This directive addresses the federal support for governors to use the National Guard in response to COVID-19. It extends the 100% federal cost share assistance for the National Guard to Iowa, Kansas, Maine, Nebraska, Oklahoma, and Vermont.",2020-08397,4/17/2020,
Presidential Directive 2020-08394,,This directive establishes the the VA is authorized to exercise authority under PL 85-804 to combat the COVID-19 national emergency. ,2020-08394,4/17/2020,
Presidential Directive 2020-08643,,"This directive delegates specific functions and authorities under the National Defense Authorization Act for Fiscal Year 2020 to the Secretary of State, Treasury, Defense, and Director of National Drug Control Policy. ",2020-08643,4/22/2020,
44 C.F.R. §§ 206.61–206.67,Stafford Act,Federal Disaster Assistance - Emergency Assistance,Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. §§ 206.200–206.209,Stafford Act,Federal Disaster Assistance - Public Assistance Project Administration,Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. §§ 206.363–206.377,Stafford Act,Federal Disaster Assistance - Community Disaster Loans,Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. §§ 206.400–206.402,Stafford Act,Federal Disaster Assistance - Minimum Standards (sets out conditions for aid recipients),Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. §§ 206.430–206.440,Stafford Act,Federal Disaster Assistance - Hazard Mitigation Grant Program ,Title 44 of CFR,1/3/2017,3/22/2024
44 C.F.R. § 208 ,National Urban Search and Rescue Response System,Sets out the rules and regulations for the National Urban Search and Rescue Response System,Title 44 of CFR,1/3/2017,3/22/2024
49 C.F.R. §§ 602.3–602.17,"Federal Transit Administration, Department of Transportation, Emergency Relief",Sets out waiver authority for DoT under Stafford Act,49 C.F.R. §§ 602.3–602.17,10/7/2014,
42 C.F.R. § 38,Medical Care and Examinations,Provides disaster assistance for crisis counseling and training ,Title 42 CFR,,8/1/2020
42 C.F.R. § 413.75,Principles of Reasonable Cost Reimbursement; Payment for End-Stage Renal Disease Services; Prospectively Determined Payment Rates for Skilled Nursing Facilities; Payment for Acute Kidney Injury Dialysis,Provides 1135 waivers to allow Medicare payment in disasters and emergencies in certain circumstances,Title 42 CFR,,8/1/2020
42 C.F.R. § 422,Medicare Advantage program,Provides certain waivers under the Medicare Advantage program in emergencies and major disasters,Title 42 CFR,,8/1/2020
42 C.F.R. § 483,Standards and Certification,Requirements for Long Term Care Facilities - Waivers in emergencies and major disasters,Title 42 CFR,,8/1/2020
42 C.F.R. §§ 510–512,Health Care Infrastructure and Model Programs - Comprehensive Care for Joint Replacement Model,Provides modifications to the net payment reconciliation amount (NPRA) in times of major disaster,Title 42 CFR,,8/1/2020
42 C.F.R. § 403.748,Medicare - Condition of Participation,Requires Emergency Preparedness plans for Religious Nonmedical Health Care Institutions,Title 42 CFR,,8/1/2020
42 C.F.R. §§ 410–418,Medicare - Supplemental Medical Insurance (SMI) Benefits,Provides Conditions for coverage and 1135 waivers for specific services,Title 42 CFR,,8/1/2020
42 C.F.R. §§ 441–460,Medical Assistance Program,"Sets out Requirements and Limits Applicable to certain services, including: psychiatric care and Programs of All-Inclusive Care for the Elderly (PACE)",Title 42 CFR,,8/1/2020
42 C.F.R. §§ 482–494,Standards and Certification - Conditions of Participation,"Sets out requirements for participation in Medicare for various programs, as well as outlining emergency preparedness and waiver requirements",Title 42 CFR,,8/1/2020
9 C.F.R. §§ 49–56,Cooperative Control and Eradication of Livestock or Poultry Diseases,Sets out requirements for containing diseases carried by livestock or poultry ,Title 9 CFR,,1/1/2012
