Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
Executive Order 13944,,This EO was empowered the HSS Secretary to combat the hoarding and price gouging of essential medical supplies and equipment during the COVID-19 pandemic. The order requires the US Food and Drug Administration (FDA) to create a list of essential medical countermeasures and critical inputs and the Secretary of Defense to identify vulnerabilities in the supply chain for such products. The order also focuses on increasing domestic production of critical products by directing agencies involved in product procurement to prioritize domestic production and encourage US based manufacturing of pharmaceuticals. The Environmental Protection Agency (EPA) was also tasked with streamlining requirements to facilitate and expedite the domestic production of critical inputs to these products. ,Executive Order 13944,Department of Health and Human Services,Health Emergency,COVID-19 Pandemic,"Provision of Supplies,Government Contracts",Not applicable,Domestic,No,Executive Order,Include,Executive Order,,8/6/2020,,2020-18012.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/aaNy5is-ika143Xyrw1hrg/2Yid8HXFjlmpQWujcxJMO34ldtg_hqP5twooNgzZU7_ZLqQmVJbo1gHbct0DYImELQW-o_VJZ4D1XeTm96lVnwUXYcD-HHtuqyYaPwyMiun_xsHUwAQGLdRzoFOM5Hh4od6YosXs7MMma_o6_PLPfA/VGDT_h85Ax3nZ7R8QGp-zIXidRQr_LWcJ7OXyjvjAjU),"*not entirely sure if this falls within the scope of our project, so airing on the side of caution",https://www.govinfo.gov/content/pkg/FR-2020-08-14/pdf/2020-18012.pdf,No,,No,,Scenario 2,
Executive Order 13962,,"This EO empowered the Heath and Human Services (HHS) Secretary to prioritize American access to safe and effective COVID-19 vaccines developed or procured by the U.S. government. The order specifically directs the HHS to prioritize access of COVID-19 vaccines developed or procured by the US government for American citizens over other populations. The order requires that vaccines be distributed and administered in an efficient and equitable fashion. After all Americans have access to COVID-19 vaccines, the Administrator of the United States Agency for International Development (USAID) may coordinate with international partners to facilitate international access to COVID-19 vaccines. ",Executive Order 13962,Department of Health and Human Services,Health Emergency,COVID-19 Pandemic,"Vaccination,Government Contracts",Not applicable,Both,Yes - Subject to Posse Comitatus,Executive Order,Include,Executive Order,,12/8/2020,,2020-27455.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/nkx3dczEFFBmz7zKkl1Sew/Si9jv_eqvHpZRQor3QEeGzkwKcCFfk0Sb6doUZ7KkiCcLVOMXo_wP3kWuRoQTnK8SkbgHnKTAApeZUPxHpOTHll9Ezroz1ghUkcUt2DNX3cwKM2-cv5LkucnXoma28cARw705WIABWnYFD_5ybDo1w/SbpZX96WmJ19Yb7OafC4xxoIx1quImTof7W30CVxjf4),,https://www.govinfo.gov/content/pkg/FR-2020-12-11/pdf/2020-27455.pdf,No,,No,,Scenario 2,
Executive Order 13997,,"This EO enables the Secretary of Health and Human Services, in consultation with the Director of the National Institutes of Health, to develop plans to support new studies for promising COVID-19 treatments, ensure equitable access to treatments, and coordinate with Department of Defense/the Department of Veteran's Affairs to enhance production and distribution of COVID-19 treatments in critical and long-term care facilities. ",Executive Order 13997,"Department of Health and Human Services,Department of Defense,Department of Veterans Affairs",Health Emergency,"COVID-19 Pandemic
",Research and Development,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,Executive Order,,1/21/2021,,2021-01858.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/rOvBbKIQ_F8qACmAOTeHmQ/CmN7fDv7GxfztFmpZMSLZAfvYF6kRiVmuAT0TDugNm5ox2cMFZaJAJmBrCnZFEFHBph5zm219XdwfE72Ua-I0At2oLZtNr9G9_eAE4zeRFOtlUj7w0y4TQ1SOm_d6Gh8h47W_VE5syxWlyjdh6runw/L5eXyDz8udUZXPtnOhqEm62JnAJ3BbP4BQk45vMTmfU),,https://www.govinfo.gov/content/pkg/FR-2021-01-26/pdf/2021-01858.pdf,No,,No,,Scenario 2,
Executive Order 13618,,"This EO was designed to create a secure and resilient communication system to be used during national security and emergency situations. The Director of the Office of Science and Technology Policy (OSTP) is tasked with overseeing efforts to reform this system and advise the President on the initiative. The order also create an Executive Committee of NS/EP Communications co-chaired by the Department of Defense (DoD) and Homeland Security (DHS), as well as a Joint Program Office under DHS to support activities related to the committee. DoD is additionally tasked with developing NS/EP communications systems that affect national security and include communications with the President, Vice President or national senior leadership. ",Executive Order 13618,"Office of Science & Technology Policy,Department of Homeland Security,Department of Defense",No triggering event - Capacity Building,N/A - part of emergency preparedness,Communications,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,Executive Order,,7/6/2012,,2012-17022.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/Wv5BmQmB7yoeeLr_ua-Nyw/HWk2p6kQv-T8g9qON8DDbOGATTDolfk14J5U98r8Od1N0hnW8XGKCJhBaa-heWFpqZx8OPrx61NtwuHQK4RpwNoN70OL3s_TaIXEN0Fm1m634nFaHrX-RbpCAnZoJbLYSB_RpMnuLCpX7nUGiMjKyA/CSBKcRY-mx_epULc43b0l6p_ilcUYH8PJE-QdSRPXmc),*doesn't empower/specify which agencies,https://www.govinfo.gov/content/pkg/FR-2012-07-11/pdf/2012-17022.pdf,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
Executive Order 13286,,This EO amends numerous previous executive orders to reflect the transfer of certain functions and responsibilities to the newly created Department of Homeland Security. ,Executive Order 13286,Department of Homeland Security,No triggering event - Capacity Building,"N/A
",General Rules and Regulations,Not applicable,Domestic,Yes,Executive Order,Include,Executive Order,,2/28/2003,,03-5343.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/Ax_wtdZIi_Xp6O7CsZonbA/gOeamd8kPKOoo5CiZJYXG1w4Ce5X0KHm6wWjkuzxmxl53bBLmHarYU6ot3-4MC8ByRNZPtg5T0vW45R2crwCJOqcOSeTWN9-ky3CPb1HEL5V-yxpNLWBXrOsQOj-ptmOfApdaYnfBKgqcFIgUXUWig/fhep8NThjxaZ5sttmdLs5YDKw8X4X-gkqAURaAMpfKo),*including to air on the side of caution ,https://www.govinfo.gov/content/pkg/FR-2003-03-05/pdf/03-5343.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
Executive Order 12656,,"This EO ensures the continuation of essential government functions in the event of a national emergency, and outlines the responsibilities of departments in response to such an emergency. ",Executive Order 12656,Broadly applies to any relevant federal agency,"NEA Emergency Declaration,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Any occurrence that severely degrades or threatens the security of the U.S.,"Response Leadership,Mission Assignment/Response Coordination",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,Executive Order,,11/18/1988,,12656.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/ZTLMI_N5Uot8SPhk07_Ezw/K5JXprDL9MKU7O1fKr32mdk9_cWaB8V8vv4XbTIKvlZGpRjBSpdu0zxbqgErZMKybk0Kn065y2eIRCr9Vmnq7VRS29qgADoEmVc2ZEzpkXF5XhPfFPHvXMxoAH9Gs4HMB45GEZVSyvVnfzUB5vOG1w/qiHjhxMVRYaTnoMahpnkVvTLciY-WQiBT2Q5XRsIeyk),,https://archives.federalregister.gov/issue_slice/1988/11/23/47491-47512.pdf,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
Executive Order 13546,,"This EO focuses on enhancing the security of BSATs within the US, and prevents the misuse of such hazardous materials amongst research efforts. It mandates BSAT security as these toxins are a great risk to public health.",Executive Order 13546,"Department of Agriculture,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,N/A,Strategies and General Preparedness Efforts,Not applicable,Domestic,No,Executive Order,Include,Executive Order,,7/2/2010,,eo-13546.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/F7jd-YvYxXU2fbWTFcvOJA/UWEp2v2VzyAa2zzJeGgSI7qrIhn8HRSiDlyI2RDu-GDDxrD0yt3y9O5pH-EMoMSWcpvp2eOJ5eWmC9u-aTKoSy4S4jDE2EoZkpg2-sffC72MciM2eiGzTYVeGTiLwddqYZ0t9Q80RnKYoqTSn4TUni-tNvT2Rdoo9R0ltC0XV58/Auts7g5qgLaSDRhBzNqpKqBA-GtDW3jCceWwCmj3cOg),,https://irp.fas.org/offdocs/eo/eo-13546.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
Executive Order 13618,,This EO assigns responsibilities to various departments to ensure a coordinated response in national security and emergency preparedness (NS/EP) situations. ,Executive Order 13618,"Department of State,Department of Defense,Department of Justice,Department of Commerce,Department of Homeland Security,Federal Communications Commission,General Services Administration",No triggering event - Capacity Building,N/A,"Mission Assignment/Response Coordination,Response Leadership",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,Executive Order,,7/6/2012,,eo-13618.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/MjYaMiZu3U5D5Vx5XlAOjg/oswLxai92FSnFp9xYCZmnPqw5At13qSA6MHi5Oyu39Rxhv5Xf4DHdaS_PwBiCot1PMxcOkbicr1q0yNWO4nnUFJ60jMDnjZ_xkhT-mP_UYT7mdQbjl2ztRp66HncD8U-IiZIdO8glI8p9Hm7P2EzGW2kMviwP2dS9DVDcY95TO8/OmawbMBXeyEDoQXO10cU2ntzU9f_VWCiGlurZx0skKc),,https://irp.fas.org/offdocs/eo/eo-13618.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
Executive Order 13909,,This EO invokes the Defense Production Act to allocate medical resources and ensure that necessary supplies are meeting the needs of the healthcare system. The goal is to support the national pandemic response.,Executive Order 13909,Department of Health and Human Services,Health Emergency,COVID-19 pandemic,"Provision of Supplies,Defense Production Act",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,Executive Order,,3/18/2020,,eo-13909.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/GV6WXndL6eFEScmSKtt4UQ/dxrrf6ZmZg2gNNupiGhUFgYN-6dOfBHtLGT5eVOSmUuREhg-LjHNWyad_Fvt8pyTzSsdNAkwHPbWN4aeudYpN--R3siUFu7LQjmqBm-I7WtCVErwA7enHKh-ZGaJQlN4t73VvcbAYDg9gM-rpXpJy9ze5yLJ8JdEI6wFkhKD67M/D9EMovFrtK6dx9GUfUReYYrEhZDNXvFfQxO78pnM89o),,https://irp.fas.org/offdocs/eo/eo-13909.pdf,No,,No,,Scenario 2,
Executive Order 13910,,This EO makes hoarding and price gouging medical resources needed to respond to COVID-19 illegal.,Executive Order 13910,"Department of Health and Human Services,Department of Justice",Health Emergency,COVID-19 pandemic,Regulations on Interstate or Foreign Commerce,Not applicable,Domestic,No,Executive Order,Include,Executive Order,,3/23/2020,,eo-13910.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/NcCyvWlOA1QqNZB1mW-gfA/u6xA4XPUOn8YBw5GJZhWAQcS_0jBr3zY5ffg-ZpppD0MzoToVcNfFp9TAaUtm1gk7yZzcPJ_mTBf71pkG2QgJuQ2NCwQs-7XsiICbAP3dJV-dPTuIGKlpvmdoVx_bgHc8IFS9w1qsOiktPQpdKkfHzGvRCPwQx8gpeowdNR9Qs4/oM8GCp0QIpN9czO7S8No7mkUOwLz2CMEMcCrAHrtWvI),,https://irp.fas.org/offdocs/eo/eo-13910.pdf,No,,No,,Scenario 2,
Executive Order 13911,,This EO expands the government's ability to address COVID-19 under the DPA by empowering various departments to distribute resources and expand production of essential supplies.,Executive Order 13911,"Department of Homeland Security,Department of Health and Human Services",Health Emergency,COVID-19 pandemic,"Provision of Supplies,Defense Production Act",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,Executive Order,,3/27/2020,,eo-13911.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/vzetYiO6SDi5wJoWGEGYWw/zanq6qJcSLeVXqqN9eoi4LTP_6enYKAY_PquT_mumppZ1GpJicW1fe_ZtgT1tQ5yNXBILTnGMgOEOjSOpllqDoC6DF71FE8zLacre-aV6sQePH-YaYJ1UPKf7thK_MRvIUgo46u9UCuxzM0gUTLxgIEPaIG0AzvRB8N55ihnA5E/hdBExXcWW462mfXPanPuqbhU-hvHMPV56RVFP3YdWzw),,https://irp.fas.org/offdocs/eo/eo-13911.pdf,No,,No,,Scenario 2,
Executive Order 13987,,This EO creates the position of Coordinator of the COVID-19 Response and Counselor to the President. It aims to ensure a widespread effort to limit the spread of COVID-19 by reducing response disparities and coordinating the distribution of supplies and vaccines.,Executive Order 13987,POTUS or Executive Office of the President of the United States,Health Emergency,COVID-19 pandemic,"Provision of Supplies,General Rules and Regulations",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,Executive Order,,1/20/2021,,eo-13987.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/ErHwXn1dB3thX7fe-vp9kQ/Lf0B-FT94rnlSsyF9F4D_vD3rnPyQZO-EtOP9vnJdQD0rYDZwlvc8HYwVpraAufNRgN8kklAfZYY9US84YbKOiAckEl9ecKdi4FM7IXm6TLlwCE1v_ftyW3zCAIpQ6AylzN16ErhA-WC-VAqovNy1WPHwe5g2mY0ovpxhzNB1o8/sEt1W8XUILXoF-GA7PocJrT0s8LxgvTJBp1JgE4S5Wg),,https://irp.fas.org/offdocs/eo/eo-13987.pdf,No,,No,,Scenario 2,
Presidential Directive - 2020-17386,,"This directive extends federal support to use the National Guard to respond to COVID-19 for economic recovery. It authorizes the National Guard to be used by state governors, and funds activities related to preventing and responding the public health threat. This directive specifically extends power to Florida.
",Presidential Directive 2020-17386,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment""",Yes,Domestic,Yes,Presidential Directive,Include,Presidential Directive,,8/6/2020,,2020-17386.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/4LxfdsKmP6sMbnPrvhULEw/Pf8xYjlUNXYieo0b28BIbrEnAU-5G3R0bNVa9QbWRy_b2ibYt09wnJ8rq0W5two5lBWjHniWx8mBIDOvQVFcsf9lsz9aDo6I2FaIqU-lHcbKBZMt7QTSeWB-1gTUypozl7KsnjMEE3xfccEKfeZD1FYMM5pEPMsXYaetNrw-NLo/V5sqdnpl2yw44MaIQQz72COnO4fPO8tQNmFNff3Ae3w),,https://www.govinfo.gov/content/pkg/FR-2020-08-06/pdf/2020-17386.pdf,Yes,Funded activities related to preventing and responding to COVID-19 in Florida,No,,Scenario 2,
Presidential Directive - 2020-17371,,"This directive extends federal support to use the National Guard to respond to COVID-19 for economic recovery. It authorizes the National Guard to be used by state governors, and funds activities related to preventing and responding the public health threat. This directive specifically extends power to Texas.
",Presidential Directive 2020-17371,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment""",Yes,Domestic,Yes,Presidential Directive,Include,Presidential Directive,,8/6/2020,,2020-17371.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/diMwF6ZtiXxywaWN-Qw7Rg/CT98S6k2g9gbN4LbmY2h3bpje8FyKky57X_OPnJEfnekHkxTWFPZIul1i-dGk86NuGZ5a-VoA2IZ4DnWA8FJGiGub6MsGwuHQNVekDrFsSntosmOvZWPVCpBGWEE7pqdELr_9RyLhPEivxE-9_rxChXGdEwzYYgfocEWAIAjp5s/WO2NKYffTfOULFYI4OskHebxXr_in-KkQs2mNcDMjYU),,https://www.govinfo.gov/content/pkg/FR-2020-08-06/pdf/2020-17371.pdf,Yes,Funded activities related to preventing and responding to COVID-19 in Texas,No,,Scenario 2,
Presidential Directive - 2020-17370,,"This directive extends federal support to use the National Guard to respond to COVID-19 for economic recovery. It authorizes the National Guard to be used by state governors, and funds activities related to preventing and responding the public health threat. This directive specifically extends power to: Alabama, Alaska, Arizona, California, Colorado, Connecticut,
Delaware, Georgia, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Mississippi, Missouri,
Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico,
New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Utah,
Vermont, Virginia, Washington, West Virginia, Wisconsin, and the territories
of Guam, Puerto Rico, and the U.S. Virgin Islands 
",Presidential Directive - 2020-17370,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment""",Yes,Domestic,Yes,Presidential Directive,Include,Presidential Directive,,8/6/2020,,2020-17370.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/KMaoeQaB5X3dJREw74ZcHw/MJ2Q0GtRbucNPAIrE-FCNsqKnxy4xZRKco6JEB5WuSEEd5f1FxKPG79fIR2fTAujxGDbTdmbLQ-LSJxO1Fmh0kNGXTz2zrGzlZ4Tyr1LHrT092flukuIR8MDit1xXTbCaY-z323XeVKBsrkBHYNWUYsrj2uKF1vZNMT4gdlNcnA/qLYv-QmrBuy1e3BWexfeFa4CdF_z5rEPzE49_SExbf8),"has different termination dates depending on percent federal cost share termination
",https://www.govinfo.gov/content/pkg/FR-2020-08-06/pdf/2020-17370.pdf,Yes," Funded activities related to preventing and responding the public health threat. This directive specifically extends power to: Alabama, Alaska, Arizona, California, Colorado, Connecticut,Delaware, Georgia, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico,New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Utah,Vermont, Virginia, Washington, West Virginia, Wisconsin, and the territoriesof Guam, Puerto Rico, and the U.S. Virgin Islands ",No,,Scenario 2,
Presidential Directive - 2020-17788,,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of Connecticut.,Presidential Directive - 2020-17788,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Yes,Domestic,Yes,Presidential Directive,Include,Presidential Directive,,8/12/2020,,2020-17788.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/c1lwjz91pgs-wZlndZZDgg/av0-PAn_g4rI550SR6cKx8aN2EzS9jyPbCBNeTk1Vvc33NFkyQlCO_Bxc8t2K9h9XM8nr29GQPjneu9yS4uILISvRZ9eNPaKtIZ_m1eDddUnHnLnQlOlZCSlLcDXQ1FPCcMup0njZQr0n585eH9bDeLeQzdoAidO3pC3vq4Pc2Y/01iCh2Ptx9YU9Xim9E2NLMCuotdAf6owLvbG3S3fLn0),,https://www.govinfo.gov/content/pkg/FR-2020-08-12/pdf/2020-17788.pdf,Yes,Funds the National Guard by an additional 25% in CT,No,,Scenario 2,
Presidential Directive - 2020-17786,,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of California.,Presidential Directive 2020-17786,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Yes,Domestic,Yes,Presidential Directive,Include,Presidential Directive,,8/12/2020,,2020-17786.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/EkypiCaQXB0ipzi4HMOxsg/b43wStRFQajJ8dS4oaTlMYJh0XIUkgX-p74NBd7HPqqB0JGtaTN3G2BN9uQluERX8OAFixpn2YSthDJUaNZujqp2VCUSDgPL1Yljdd0oViZobpE3de30obGhZbHu-26vQo5IB-e2IUNiJTdNfCaWfjTGxGL1amdoZnIu7n3PB2s/pr1haDbiV1Gmu-4mLGHftx3nPgCLQygmwg0ksN42z-M),,https://www.govinfo.gov/content/pkg/FR-2020-08-12/pdf/2020-17786.pdf,Yes,Funds the National Guard by an additional 25% in CA,No,,Scenario 2,
Presidential Directive - 2020-17784,,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of Arizona.,Presidential Directive - 2020-17784,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Yes,Domestic,Yes,Presidential Directive,Include,Presidential Directive,,8/12/2020,,2020-17784.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/MIDOdoImCxy_-jTdPC6Qag/PEQJoFDw0w1fsekjadjeshotFjDJeXw1piZTJeLtaTNAuHc2uRb1l9o3nkp-sbpMX1bW-ssXNtIpCycEhoTqBvd1lRA5eX3doaC3qhA89EhHCITYFetK9gZHeJ1jm3dy1hg3JPwVG1LAzZjCb0zE6Wwol_nbQTVROf0VuWxvPC8/GrU5556gkKzWpvqI6brMAIqAD4cddNOfd6C0tDNHGqw),,https://www.govinfo.gov/content/pkg/FR-2020-08-12/pdf/2020-17784.pdf,Yes,Funds the National Guard by an extra 25% in AZ,No,,Scenario 2,
Presidential Directive - 2020-19599,,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of Louisiana.,Presidential Directive - 2020-19599,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Yes,Domestic,Yes,Presidential Directive,Include,Presidential Directive,,9/2/2020,,2020-19599.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/6gqnr_1j1B-e06BaWx97RA/dVAc4w10m1oz7AbYiSvKBkPvksp-yx7wU97sV4fSDigv0BbGxMUDLh9F9GViPo4fxCUcaI4uORsI3o1ic_1hgyTn88Ta44dfPlKY3wfM3RUG2iAndtwnlKsvBokBHgaM9DdHyuKVOLB4nVzYein_xZBPiJ5YrSV5k2afFHUpYHM/4c3Lql6_zG1tMxXFRyybuRNGMD0n27rBoHPmAotWG5w),,https://www.govinfo.gov/content/pkg/FR-2020-09-02/pdf/2020-19599.pdf,Yes,Funded the National Guard by an extra 25% in LA,No,,Scenario 2,
Presidential Directive - 2020-08958,,"This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to Alabama, Alaska, and Delaware. ",Presidential Directive 2020-08958,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",Yes,Domestic,Yes,Presidential Directive,Include,Presidential Directive,,4/24/2020,,2020-08958.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/QDQD56LmnrMHbNWVgTEaeQ/bweZ_2oijCqb_U_FyQig4S7U-TkCZb9CZRHslJV9ErvCZEeddhHeiaVlLnoGGx3Owuc365jb81HAJ_aTd8cxFEncpwBd68958V2sOTvbaP1rhQ7qJz9W4ZRh-2wZzDmGnP3K8NL3vTs_C26kdMAVKgO2mHswloyADBn9gBhlJNw/K5TZdWb1MKTrS1m444OaYNN6dAQAut9hprXo2s_4JBI),,https://www.govinfo.gov/content/pkg/FR-2020-04-24/pdf/2020-08958.pdf,Yes,Extended cost share for National Guard in several states,No,,Scenario 2,
Presidential Directive 2020-09540,,This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to North Dakota. ,Presidential Directive 2020-09540,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",Yes,Domestic,Yes,Presidential Directive,Include,Presidential Directive,,5/1/2020,,2020-09540.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/ZjzxGBeokMIpopKhZX-cqg/ce_aPw035s6TZXy5IbLfeIL6MDqm_xK6_jE4B6W10Ck0M6EQwC5DPsBDNKmT8htsfIXH4QeN2Ik_ES4xiJaiQYRByJH16h0miO_U83GhKs60PiltXSbH0PctuZxrc80gZHS72a1gb524SK4VG8AghT88dB_smTukgAlcu_zXcWM/Gz7kznDdlBzh-Iw77hXL90T1XQrJOJ_2IE-YZdZJ9bo),,https://www.govinfo.gov/content/pkg/FR-2020-05-01/pdf/2020-09540.pdf,Yes,Extended cost share for National Guard in North Dakota,No,,Scenario 2,
Presidential Directive 2020-10437,,This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to South Dakota. ,Presidential Directive 2020-10437,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",Yes,Domestic,Yes,Presidential Directive,Include,Presidential Directive,,5/13/2020,,2020-10437.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/1zFtVQg1hrGYMybZuiRluA/uCjOyvZxv_jE5A-RdyS4NXKNnONFA21yNj4sR_zgy0qvmBDvnRIgLJ_gUTCmsUQjsmT9jj-iDxZETXaw8xdbPUbsB0OjQa2u-194xHPZZ-nFaY0z0gkQswOn6jIPYrCtX42HJ1qN6si7bixMGBk0uO2FHmyQm0LahGtvKcDsuV4/URnYGbRsJVo9ILEhWCqgrOarAtCocA84_7e9MeWiNlk),,https://www.govinfo.gov/content/pkg/FR-2020-05-13/pdf/2020-10437.pdf,Yes,Extended federal support for National Guard response in South Dakota,No,,Scenario 2,
Presidential Directive 2020-11427,,This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to Utah. ,Presidential Directive 2020-11427,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",Yes,Domestic,Yes,Presidential Directive,Include,Presidential Directive,,5/26/2020,,2020-11427.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/ScnIQefuSNsNmpBglj5l0Q/cAlA75DMuX0P3lsqskGdosI3yaX4CKnfdLF1czHHajiUYKlUaxHgGBuGPon0SGXFUEl4u5L8I0HDOJyuK5zGiWGswuiJIKcYd_PVusswH8KlFpHZPdx0OwxTUWbrTtyLsYVKn7sGHS31oOZ8PZOLsk9DtlhhobCWwq2vYpVF9K4/EZpbymTG-P9TEdPRlQ2Ey2izvZZ4tqY90sShUcjKW28),,https://www.govinfo.gov/content/pkg/FR-2020-05-26/pdf/2020-11427.pdf,Yes,Extended federal support for National Guard response in Utah,No,,Scenario 2,
